date,abstract,keywords,doc_type,material_type,news_desk
2019-03-02,"For some players, the sense of beginnings and hope is tempered by the thought: Is this my last one?",['Baseball'],article,Op-Ed,OpEd
2019-03-02,The former Trump campaign chairman will be sentenced next week in one of the two cases against him. Sentencing guidelines put the punishment at 19 to 24 years.,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Presidential Election of 2016', 'Special Prosecutors (Independent Counsel)', 'Frauds and Swindling', 'United States Politics and Government']",article,News,Washington
2019-03-02,"The family of Otto Warmbier spoke out after President Trump’s comments, saying that North Korea’s “evil regime” was responsible for the death of their son.","['United States International Relations', 'United States Politics and Government', 'Political Prisoners', 'Deaths (Fatalities)', 'Human Rights and Human Rights Violations']",article,News,National
2019-03-02,Cellphones and apps are like slot machines that command attention and endlessly distract.,"['Computers and the Internet', 'Mobile Applications', 'Artificial Intelligence']",article,News,SpecialSections
2019-03-02,"The police and Major League Baseball said they were each looking into the episode, which happened on Friday and parts of which were captured on video.","['Baseball', 'Domestic Violence', 'Video Recordings, Downloads and Streaming']",article,News,Express
2019-03-02,Governor Cuomo is right to try to resuscitate a deal that could help New York.,['Relocation of Business'],article,Editorial,Editorial
2019-03-02,"Here is a review of the Mets at each position, after spring training injuries to Jed Lowrie and Todd Frazier cut into the team’s depth.",['Baseball'],article,News,Sports
2019-03-02,An open letter asking Jeff Bezos to resuscitate a plan for Amazon to build a campus in Queens has not seemed to change the company’s position.,"['Relocation of Business', 'ADVERTISING AND MARKETING']",article,News,Metro
2019-03-02,A captivating Kardashian narrative unfolded across television and social media. Why?,"['Social Media', 'Media', 'Privacy', 'your-feed-selfcare']",article,News,Styles
2019-03-02,"Facing criticism for making regional theaters cancel productions of “To Kill a Mockingbird,” Scott Rudin said he would let them go on, using the new Aaron Sorkin script.","['Theater', 'Finances', 'Copyrights and Copyright Violations', 'Books and Literature']",article,News,Culture
2019-03-02,"We know how to fight the epidemic, but patients in the South still aren’t getting the treatment they need.","['Acquired Immune Deficiency Syndrome', 'Truvada (Drug)', 'Health Insurance and Managed Care', 'Blacks', 'Black People', 'Urban Areas', 'Epidemics']",article,Op-Ed,OpEd
2019-03-02,The Justice Department said it had found insufficient evidence to prove that Betty Shelby had willfully used unreasonable force against Terence Crutcher.,"['Police Brutality, Misconduct and Shootings', 'Blacks', 'Black People', 'Murders, Attempted Murders and Homicides', 'Civil Rights and Liberties']",article,News,Express
2019-03-02,"The new $330 million man is as brash and fiery as a city that shows its sports heroes love, even if it’s tough love for those who fall short of expectations.",['Baseball'],article,News,Sports
2019-03-02,"Finally, something worse than Donald Trump.","['Telemarketing', 'Law and Legislation', 'Consumer Protection', 'Frauds and Swindling', 'Regulation and Deregulation of Industry', 'United States Politics and Government']",article,Op-Ed,OpEd
2019-03-02,What Mr. McCarry learned as a Cold War C.I.A. operative served him well as a writer. His fiction was compared to John le Carré’s.,"['Deaths (Obituaries)', 'Books and Literature', 'Writing and Writers', 'Espionage and Intelligence Services']",article,Obituary (Obit),National
