date,abstract,keywords,doc_type,material_type,news_desk
2020-04-01,A report by Amnesty International challenges the American military’s claim that the February strikes hit only terrorists and no innocent bystanders.,"['Civilian Casualties', 'Terrorism', 'United States Defense and Military Forces']",article,News,Washington
2020-04-01,"With coronavirus-related job losses, many workers are reluctantly seeking charity and unemployment benefits for the first time in their lives.","['Unemployment', 'Food Banks and Pantries', 'Layoffs and Job Reductions', 'Philanthropy', 'Coronavirus (2019-nCoV)']",article,News,Culture
2020-04-01,The tunnel’s entrance was not far from a newly constructed portion of the border wall that President Trump visited last September in the Otay Mesa section of San Diego.,"['Drug Abuse and Traffic', 'Border Barriers', 'Smuggling', 'Immigration and Emigration', 'Organized Crime']",article,News,Express
2020-04-01,Critics in Congress push to revoke the performing arts center’s piece of the stimulus package as it works to explain its response to the financial crisis.,"['Finances', 'Art', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'United States Politics and Government']",article,News,Culture
2020-04-01,"Mad magazine editor in chief John Ficarra makes his New York Times Crossword debut, with the able assistance of Patrick Merrell.",['Crossword Puzzles'],article,News,Games
2020-04-01,"The president said the measure,  announced Tuesday, would lift the economy, but outside analysts said the administration's rosy numbers did not represent an accurate accounting of its costs. ","['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'United States Politics and Government', 'Fuel Efficiency', 'Regulation and Deregulation of Industry', 'United States Economy']",article,News,Climate
2020-04-01,"A quick purée, seasoned with lemon and garlic, is a kind of delicious all-purpose dip, sauce and spread.","['Cooking and Cookbooks', 'Vegetables', 'Broccoli', 'Recipes']",article,News,Magazine
2020-04-01,"Quotation of the Day for April 1, 2020.",[],article,Quote,Summary
2020-04-01,"Corrections that appeared in print on Wednesday, April 1, 2020.",[],article,Correction,Corrections
2020-04-01,"Initially dismissed by some as a Miles Davis imitator, Mr. Roney, who has died of coronavirus complications, emerged as a major musician in his own right.","['Deaths (Obituaries)', 'Jazz', 'Coronavirus (2019-nCoV)']",article,Obituary (Obit),Obits
2020-04-01,Here’s what you need to know.,[],article,briefing,NYTNow
2020-04-01,The cause of the three-alarm blaze remains under investigation.,"['Fires and Firefighters', 'Deaths (Fatalities)']",article,News,Express
2020-04-01,"Florida’s governor belatedly directed residents to stay home, but only after a call with President Trump. States raised new concerns about medical supplies, and fears grew about a prolonged global downturn.","['Coronavirus (2019-nCoV)', 'Epidemics', 'Deaths (Fatalities)']",article,News,Foreign
2020-04-01,Live updates on stock market and business news during the coronavirus outbreak.,"['United States Economy', ""Standard & Poor's 500-Stock Index"", 'Stocks and Bonds', 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'International Trade and World Market']",article,News,Business
2020-04-01,A British thriller series is on Hulu. And “The Iliza Shlesinger Sketch Show” debuts on Netflix.,"['Television', 'Movies']",article,News,Culture
2020-04-01,This word has appeared in eight articles on NYTimes.com in the past year.,[],article,News,Learning
2020-04-01,“The Tonight Show” host said New Yorkers thought the flashing red-and-white light display “meant Target finally got a shipment of toilet paper.”,[],article,News,Culture
2020-04-01,"Expatriates, especially in New York, have abandoned the lives they built over fear of the inequalities in the American health care system.","['Coronavirus (2019-nCoV)', 'Health Insurance and Managed Care', 'Foreign Workers', 'Immigration and Emigration']",article,News,Foreign
2020-04-01,"Now that schools have closed, have you created a space for learning in your home?",[],article,News,Learning
2020-04-01,"Traders scour factories and warehouses, find planes and pilots and look for buyers as hospitals and governments beg for protective gear.","['Coronavirus (2019-nCoV)', 'Masks', 'Protective Clothing and Gear', 'Factories and Manufacturing', 'Medical Devices', 'Freight (Cargo)', 'International Trade and World Market', 'Shortages']",article,News,Business
2020-04-01,"“Bluey” is the country’s biggest children’s TV export since “The Wiggles,” speaking with rare frankness to young and old.","['Children and Childhood', 'Television', 'Parenting', 'Dogs', 'Cartoons and Cartoonists']",article,News,Culture
2020-04-01,"Irby’s new essay collection, “Wow, No Thank You,” offers more of her deadpan, confiding voice, which ranges from high silliness to emotionally painful depths.",['Books and Literature'],article,Review,Culture
2020-04-01,Sifting through river muck for treasure — and the lessons of human history.,"['Rivers', 'Bones', 'Mines and Mining']",article,News,Magazine
2020-04-01,"Celebrities are reminding us to stay home, encouraging us to keep up our spirits and sharing how they are coping. Should they?",[],article,News,Learning
2020-04-01,"Chemists at some of the biggest legal-weed companies are after an elusive prize: a predictable, reliable product.","['Cannabis Foods and Products', 'Marijuana', 'Drugs (Pharmaceuticals)', 'Research']",article,News,Magazine
2020-04-01,"DevaCurl, which for many women represented a hard-won acceptance of their curls, is a target of class-action lawsuits.","['Hair', 'Suits and Litigation (Civil)']",article,News,Styles
2020-04-01,"“The Boy, the Mole, the Fox and the Horse” will spark lively conversation among people who have run out of things to say.",[],article,News,BookReview
2020-04-01,Coronavirus fears and lockdowns on travel have complicated the lives of families who rely on the in-home child care help of au pairs.,"['Child Care', 'Quarantines', 'Coronavirus (2019-nCoV)', 'Families and Family Life', 'Visas']",article,News,Smarter Living
2020-04-01,Just because a coronavirus test says you don’t have the virus doesn’t mean you aren’t infected — or infectious.,"['Tests (Medical)', 'Coronavirus (2019-nCoV)', 'Quarantines', 'ANTIBIOTICS', 'Influenza', 'Hygiene and Cleanliness']",article,News,Well
2020-04-01,"With the coronavirus upon us, Americans now must confront death up close.","['Coronavirus (2019-nCoV)', 'Elderly', 'Hospice Care', 'Medicine and Health', 'Death and Dying']",article,Op-Ed,OpEd
2020-04-01,Cooped up and looking for a new form of entertainment? Consider gaming. Intimidated? We’re here to help.,"['Computer and Video Games', 'Computers and the Internet']",article,News,Culture
2020-04-01,"The death of Father Jorge Ortiz-Garay, the first Catholic priest known to have died of the coronavirus in the United States, rattled a community that is unable to congregate and mourn.","['Coronavirus (2019-nCoV)', 'Clergy']",article,News,Metro
2020-04-01,"Taking an extra 4,000 steps a day, even if it’s around your living room, may lower your risk of dying prematurely.","['Longevity', 'Coronavirus (2019-nCoV)', 'Heart', 'Walking', 'Quarantines', 'Exercise']",article,News,Well
2020-04-01,"Some customers prefer greenmarkets to shopping inside during the coronavirus outbreak. Last week, rules were introduced to keep the markets safe.","[""Farmers' Markets"", 'Shopping and Retail', 'Vegetables', 'Agriculture and Farming', 'Coronavirus (2019-nCoV)']",article,News,Metropolitan
2020-04-01,Former journalists at The New York Times describe a parody of the paper in 1978 and the secrecy surrounding it.,"['Newspapers', 'Comedy and Humor', 'News and News Media', 'Strikes']",article,News,Insider
2020-04-01,Gunshot victims are fighting for space inside our overcrowded I.C.U.s.,"['Coronavirus (2019-nCoV)', 'Hospitals', 'Ventilators (Medical)', 'Medical Devices', 'Firearms', 'Gun Control', 'Murders, Attempted Murders and Homicides', 'Deaths (Fatalities)', 'Shortages']",article,Op-Ed,OpEd
2020-04-01,"The coronavirus crisis will determine whether Trump is a one-term president, but it may reshape the social order far more.","['Coronavirus (2019-nCoV)', 'United States Economy', 'United States Politics and Government', 'Polls and Public Opinion', 'Recession and Depression', 'Epidemics', 'Presidential Election of 2020']",article,Op-Ed,OpEd
2020-04-01,Neighborhood pharmacists and government intervention were the secret weapons.,"['Masks', 'Shortages', 'Coronavirus (2019-nCoV)']",article,Op-Ed,OpEd
2020-04-01,Expectant mothers who are fearful of giving birth in a city that has become a coronavirus hot spot are seeking other options.,"['Pregnancy and Childbirth', 'Coronavirus (2019-nCoV)', 'Hospitals', 'Parenting']",article,News,Parenting
