date,abstract,keywords,doc_type,material_type,news_desk
2020-11-01,PHILADELPHIA — Add Debra Messing and Kathy Najimy to the thousands of canvassers spread out across Philadelphia for the Biden campaign on Saturday.,[],article,News,Politics
2020-11-01,Here are 20 counties in battleground states that are crucial for a White House victory.,['Presidential Election of 2020'],multimedia,Interactive Feature,U.S.
2020-11-01,"SUN CITY, Ariz. — Don’t believe the polls. Don’t believe the media. And definitely do not believe the Democrats.",[],article,News,Politics
2020-11-01,"Bright, bold and utterly unconventional, both “Mister Invincible” and “Primer” flout all the “rules.”","['Books and Literature', 'Children and Childhood', 'Comic Books and Strips', 'Graphic Novels']",article,Review,BookReview
2020-11-01,Whispering your fears to these little dolls made of rolled newspaper might help you sleep better.,"['Quarantine (Life and Culture)', 'Dolls', 'Handicrafts']",article,News,AtHome
2020-11-01,The answers to all your 2020 pandemic wedding dilemmas.,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Weddings and Engagements', 'Videophones and Videoconferencing', 'Parties (Social)', 'Customs, Etiquette and Manners']",article,News,AtHome
2020-11-01,Radio programming from around the world is available on the internet or through apps.,"['Quarantine (Life and Culture)', 'Radio', 'Music']",article,News,AtHome
2020-11-01,"Whether you’re looking for a new role or just trying to expand your professional network, here’s how to use the website’s services to your full advantage.","['Quarantine (Life and Culture)', 'Content Type: Service', 'Social Media', 'Careers and Professions', 'Hiring and Promotion']",article,News,AtHome
2020-11-01,"He may be considered the ultimate 007, but it took him time to find his footing, helped by a director with a taste for high living.","['Movies', 'Bond, James (Fictional Character)', 'Content Type: Personal Profile', 'Actors and Actresses']",article,News,Culture
2020-11-01,"Voting day won’t bring an end to the strain of this political season, but you don’t have to let things get contentious.","['Quarantine (Life and Culture)', 'Content Type: Service', 'Presidential Election of 2020', 'Anxiety and Stress', 'Politics and Government']",article,News,AtHome
2020-11-01,"Corrections that appeared in print on Sunday, Nov. 1, 2020.",[],article,News,Corrections
2020-11-01,"Quotation of the Day for Sunday, November 1, 2020.",[],article,News,Summary
2020-11-01,"Calm your nerves with a meditation guide, a night at the Seattle Symphony and a day among the sea otters at the Monterey Bay Aquarium.","['Quarantine (Life and Culture)', 'Theater', 'Dancing', 'Meditation', 'Music', 'Classical Music', 'Art']",article,News,AtHome
2020-11-01,"If it was ever real, it isn’t anymore.","['Social Conditions and Trends', 'Art']",article,Op-Ed,OpEd
2020-11-01,Vehicles flying Trump flags tried to force a Biden-Harris campaign bus off a highway in Texas. Trump chuckled about it at a rally later that evening.,[],article,News,Politics
2020-11-01,A Trump rally planned for late Sunday in Florida could run afoul of a local curfew.,[],article,News,Politics
2020-11-01,"All eyes are on Pennsylvania, which both presidential campaigns seem to believe could determine the outcome of the race.",[],article,News,Politics
2020-11-01,"The Hong Kong politicians were arrested in connection with a contentious meeting in May, when the local legislature’s chambers were filled with protest over a battle for control over a key committee.","['Politics and Government', 'Law and Legislation', 'Hong Kong Protests (2019)', 'Demonstrations, Protests and Riots']",article,News,Foreign
2020-11-01,The police arrested a 24-year-old man who they said was dressed in medieval garb and carrying a sword when he went on a rampage.,"['Murders, Attempted Murders and Homicides', 'Halloween']",article,News,Foreign
2020-11-01,Carrey appeared in his recurring role as Joe Biden in a Halloween episode hosted by the “Saturday Night Live” alum John Mulaney and featuring the Strokes as the musical guest.,['Television'],article,News,Culture
2020-11-01,"A reunion with a well-dressed teacher, a tricky census question and more reader tales of New York City in this week’s Metropolitan Diary.",[],article,News,Metropolitan
2020-11-01,"Half of New York City’s 24,000 restaurants could go out of business. Gertie is fighting to avoid becoming one of them.","['Restaurants', 'Coronavirus (2019-nCoV)', 'Renting and Leasing (Real Estate)', 'Landlords', 'Bars and Nightclubs', 'Shutdowns (Institutional)']",article,News,Metro
2020-11-01,"Pastors can’t endorse or oppose candidates from the pulpit, and many of them don’t want to. But that doesn’t mean they’re ignoring politics.","['Ministers (Protestant)', 'Presidential Election of 2020', 'Christians and Christianity', 'Endorsements', 'Religion-State Relations']",article,News,National
2020-11-01,"Italians are now a long way away from the days of singing on balconies and their summer fling with freedom. Just like everyone else, they’ve had it.","['Demonstrations, Protests and Riots', 'Politics and Government', 'Shutdowns (Institutional)', 'Curfews', 'Coronavirus (2019-nCoV)']",article,News,Foreign
2020-11-01,"Cecily von Ziegesar, the author of “Gossip Girl,” is going for an adult, possibly Brooklyn-based audience in her new novel, but there will still be drama.","['Books and Literature', 'Writing and Writers', 'Television', 'Content Type: Personal Profile']",article,News,Culture
2020-11-01,"The team, formed in the past few months, is trying to make a mark in the mostly white, mostly male world of competitive fishing.","['Fishing, Sport', 'Women and Girls', 'Black People', 'Blacks', 'Content Type: Personal Profile']",article,News,Sports
2020-11-01,"Health officials say an influx of rapid, inexpensive tests is good for the country, but caution that they are struggling to count those who test positive.","['Coronavirus (2019-nCoV)', 'Tests (Medical)', 'States (US)', 'Disease Rates']",multimedia,Interactive Feature,U.S.
2020-11-01,"Every four years, as Election Day draws near, we embrace America’s oddball geographic nicknames.","['Elections', 'Voting and Voters', 'United States Politics and Government']",multimedia,Interactive Feature,U.S.
2020-11-01,"In an excerpt from his new book, “Garner’s Quotations: A Modern Miscellany,” the Times critic explains why he’s hoarded favorite lines for nearly 40 years and why he’s sharing some with readers now.","['Books and Literature', 'Quotations and Proverbs', 'Writing and Writers']",article,News,BookReview
2020-11-01,A senior State Department official who tested positive for the coronavirus after a trip to Europe has angered other diplomats and irritated foreign officials whom he could have infected.,"['United States International Relations', 'Diplomatic Service, Embassies and Consulates', 'Coronavirus (2019-nCoV)']",article,News,Washington
2020-11-01,Many law enforcement officials have attempted to inject calm while warning of dire consequences for those who try to disrupt voting.,"['United States Politics and Government', 'Presidential Election of 2020', 'Right-Wing Extremism and Alt-Right', 'Police', 'Demonstrations, Protests and Riots']",article,News,National
2020-11-01,"A feeling of alarm and fear about the future of democracy, from voters across the political spectrum.","['Presidential Election of 2020', 'United States Politics and Government', 'Democracy (Theory and Philosophy)', 'Voting and Voters']",article,News,Upshot
2020-11-01,"After the most tense election season in generations, clergy members are being trained and deployed to defuse potentially violent encounters on Election Day.","['Elections', 'Clergy', 'United States Politics and Government', 'Presidential Election of 2020']",article,News,Politics
2020-11-01,"The pastor at the Ebenezer Baptist Church in Atlanta, where Martin Luther King Jr. once preached, is betting that Georgia is ready to send a religious progressive to Washington.","['Elections, Senate']",article,News,Politics
2020-11-01,"Despite pledges for debt relief and expanded programs, the World Bank and International Monetary Fund have delivered meager aid, say economists.","['Poverty', 'Third World and Developing Countries', 'Stimulus (Economic)', 'Banking and Financial Institutions', 'Coronavirus (2019-nCoV)', 'Credit and Debt']",article,News,Business
2020-11-01,"Joseph R. Biden Jr. leads President Trump in Pennsylvania, Florida, Arizona and, by a wide margin, in Wisconsin, according to a Times/Siena College poll.","['Presidential Election of 2016', 'Presidential Election of 2020', 'Polls and Public Opinion', 'United States Politics and Government']",article,News,Politics
2020-11-01,"Whether President Trump wins or loses on Nov. 3, the very concept of public trust in an established set of facts necessary for the operation of a democratic society has been eroded.","['United States Politics and Government', 'Presidents and Presidency (US)', 'Presidential Election of 2020', 'Rumors and Misinformation']",article,News Analysis,Washington
