date,abstract,keywords,doc_type,material_type,news_desk
2019-12-01,President Trump’s aides were delighted that news of his Thanksgiving Day visit to Afghanistan stayed under wraps.,['Afghanistan War (2001- )'],article,News,Washington
2019-12-01,The Buckeyes quarterback threw one of his four touchdown passes in a 56-27 win immediately after returning from an injury scare.,['Football (College)'],article,News,Sports
2019-12-01,A personal loss has prompted Eileen Shiffrin to step away from coaching her daughter after the two decided “it was important for her to get back to her life.”,['World Cup (Skiing)'],article,News,Sports
2019-12-01,The actor and environmentalist released a statement on Saturday after President Jair Bolsonaro falsely accused him of funding the fires recently set in the Amazon rainforest.,"['Social Media', 'Environment', 'Fires and Firefighters', 'Global Warming', 'Computers and the Internet']",article,News,Express
2019-12-01,A blocked pipe caused sewage to back up several feet deep in homes in a Queens neighborhood as officials looked at a familiar culprit on the heels of Thanksgiving.,"['Sewers and Sewage', 'Waste Materials and Disposal', 'Water Pollution', 'Basements and Cellars']",article,News,Express
2019-12-01,Chief Petty Officer Edward Gallagher’s case pits a Pentagon hierarchy committed to enforcing longstanding rules of combat against a commander in chief with no military experience but a finely honed sense of grievance against authority.,"['Iraq War (2003-11)', 'War Crimes, Genocide and Crimes Against Humanity', 'Civilian Casualties', 'United States Defense and Military Forces', 'United States Politics and Government', 'internal-national collaboration']",article,News,Washington
2019-12-01,"Members of four generations of a family who were returning from a hunting trip died in the accident, according to a statement from a company that two of the victims founded.","['Aviation Accidents, Safety and Disasters', 'Snow and Snowstorms', 'Deaths (Fatalities)', 'AIRLINES AND AIRPLANES']",article,News,Express
2019-12-01,"Mutual friends conspired to introduce the couple, in 2011, at a small dinner party to celebrate the groom’s birthday.",['Weddings and Engagements'],article,News,Society
2019-12-01,"Quotation of the Day for Sunday, December 1, 2019.",[],article,Quote,Summary
2019-12-01,"Corrections that appeared in print on Sunday, Dec. 1, 2019.",[],article,News,Corrections
2019-12-01,The couple met in 2013 at a Shabbat dinner with mutual friends.,['Weddings and Engagements'],article,News,Society
2019-12-01,"The couple met in 2009 while running for positions with Harvard China Care, a college club that supports orphans in China.",['Weddings and Engagements'],article,News,Society
2019-12-01,"The couple met via email through a mutual friend in 2016, and reconnected in January 2019 through the dating app Hinge.",['Weddings and Engagements'],article,News,Society
2019-12-01,"The couple met in 2014 at a mutual friend’s backyard party, and began dating six months later, after the friend invited both of them to another party.",['Weddings and Engagements'],article,News,Society
2019-12-01,"Stream Kacey Musgraves’s modern take on classic Christmas specials, and catch an immersive documentary about the Apollo 11 moon landing.","['Television', 'Movies']",article,News,Culture
2019-12-01,"After years of American pressure, China is taking steps to shut off the illicit supply of deadly synthetic opioids. But don’t expect an end to the overdoses.","['Fentanyl', 'Drug Abuse and Traffic', 'Opioids and Opiates', 'Regulation and Deregulation of Industry', 'United States International Relations']",article,News,Foreign
2019-12-01,"Paying with cash, wondering what a subway rider is studying and more reader tales of New York City in this week’s Metropolitan Diary.",[],article,News,Metropolitan
2019-12-01,The sudden drops raise fresh questions about corporate governance and regulatory oversight in a crossroads for global finance.,"['Stocks and Bonds', 'Securities and Commodities Violations', 'Politics and Government', 'Short Selling', 'Regulation and Deregulation of Industry']",article,News,Business
2019-12-01,"After a week of relative calm and a vote that boosted protesters’ cause, officers fired tear gas and rubber bullets, and demonstrators attacked shops.","['Demonstrations, Protests and Riots', 'Hong Kong Protests (2019)', 'Politics and Government', 'Elections']",article,News,Foreign
2019-12-01,"A Times investigation used cockpit recordings to show for the first time how Russian pilots attacked civilians in Syria this summer, killing dozens.","['Civilian Casualties', 'your-feed-visual-investigations', 'War Crimes, Genocide and Crimes Against Humanity']",multimedia,Video,
2019-12-01,"Eyewitness photos and videos, flight logs and cockpit tapes obtained by The Times enabled reporters to trace an airstrike on a Syrian camp for displaced families to a Russian pilot.","['your-feed-visual-investigations', 'War Crimes, Genocide and Crimes Against Humanity']",article,News,Summary
2019-12-01,Shirley Dieujuste lost her job at a child care center and could not pay her rent. Now she is looking for other ways to provide children with love and hope.,[],article,News,Metro
2019-12-01,"Solenodons are highly unusual, and very difficult to study.","['Solenodons (Animals)', 'Poisoning and Poisons', 'Mammals', 'Genetics and Heredity', 'Evolution (Biology)', 'Endangered and Extinct Species', 'Research', 'your-feed-science']",article,News,Science
2019-12-01,Recent residential sales in New York City and the region.,['Real Estate and Housing (Residential)'],article,News,RealEstate
2019-12-01,"Miscalculations, and an unexpected victory by President Trump, have put abortion access at its most vulnerable point in decades, and the left on the defensive. Now it is trying to recover.","['ABORTION', 'Birth Control and Family Planning', 'Presidential Election of 2020', ""Women's Rights"", 'United States Politics and Government', 'Women and Girls', 'Law and Legislation', 'States (US)']",article,News,Politics
2019-12-01,"Haunted by a violent past, the territory has one of the highest suicide rates in the world.","['Depression (Mental)', 'Mental Health and Disorders', 'Anxiety and Stress', 'Post-Traumatic Stress Disorder', 'Terrorism', 'Suicides and Suicide Attempts']",article,News,Foreign
2019-12-01,"Recordings have emerged of private conversations that Julian Assange, the WikiLeaks founder, had while living in the Ecuadorean Embassy. He and a Spanish prosecutor blame the United States.","['Classified Information and State Secrets', 'Diplomatic Service, Embassies and Consulates', 'Espionage and Intelligence Services']",article,News,Foreign
2019-12-01,Here’s what you need to know about the week’s top stories.,[],article,briefing,NYTNow
2019-12-01,"The strike on a car killed all five onboard, including a woman who had given birth hours before, relatives and officials said.","['Drones (Pilotless Planes)', 'Civilian Casualties', 'Afghanistan War (2001- )']",article,News,Foreign
2019-12-01,"After a public-relations debacle stirred questions about the role of Queen Elizabeth II, the Prince of Wales is asserting a newfound authority in British royal affairs.","['Royal Families', 'Politics and Government']",article,News,Foreign
2019-12-01,"Look, it’s a not a Black Friday-related email! Allow us to interrupt your post-Thanksgiving pie nibbling and online shopping with our weekly cheat sheet to the top stories in business and tech. Catch up on the latest and then enjoy what’s left of your loafing time. ","['Mergers, Acquisitions and Divestitures', 'High Net Worth Individuals']",article,News,SundayBusiness
2019-12-01,"Yang Hengjun has been shackled, cut off from all contact with his family and interrogated daily to make him confess to being a spy, his representatives said.","['Politics and Government', 'Political Prisoners', 'Espionage and Intelligence Services']",article,News,Foreign
2019-12-01,A motive for the shooting is unknown and the authorities said no arrests had been made.,"['Murders, Attempted Murders and Homicides']",article,News,Express
2019-12-01,"Newly separated and living in her parents’ building, a writer gives stand-up comedy a try. What happened next was not in the script.","['Comedy and Humor', 'Bars and Nightclubs']",article,News,Culture
2019-12-01,"Every month, subscription streaming services add a new batch of titles to their libraries. Here are our picks for December.",['Television'],article,News,Culture
2019-12-01,"Cook salsa verde chicken in a pressure or slow cooker, or make a comforting bowl of beef and broccoli.",[],article,News,Dining
2019-12-01,"The morning commute will be cold and rainy, with snow beginning later as temperatures drop.","['Weather', 'Snow and Snowstorms']",article,News,Metro
