date,abstract,keywords,doc_type,material_type,news_desk
2020-01-01,"The gunman who shot two parishioners at the West Freeway Church of Christ had come earlier looking for food and money, church leaders said.","['Churches (Buildings)', 'Murders, Attempted Murders and Homicides']",article,News,National
2020-01-01,Congress could do much more to protect Americans who have served their country from predatory for-profit colleges.,"['Veterans', 'For-Profit Schools', 'Financial Aid (Education)', 'Frauds and Swindling', 'Colleges and Universities']",article,Editorial,Editorial
2020-01-01,The tobacco and vaping industries and conservative allies intensively lobbied against a ban on popular flavored e-cigarettes.,"['E-Cigarettes', 'Recalls and Bans of Products', 'Menthol', 'Nicotine', 'Teenagers and Adolescence', 'Regulation and Deregulation of Industry', 'Smoking and Tobacco', 'Lobbying and Lobbyists', 'United States Politics and Government', 'your-feed-healthcare']",article,News,Science
2020-01-01,Christina Iverson and Jeff Chen ring in the New Year.,['Crossword Puzzles'],article,News,Games
2020-01-01,"Corrections that appeared in print on Wednesday, Jan. 1, 2020.",[],article,Correction,Corrections
2020-01-01,"Quotation of the Day for Wednesday, January 1, 2020.",[],article,Quote,Summary
2020-01-01,Attacks on civilian sites in Syria have grown so frequent that the U.N. launched a rare inquiry to document the violations. But the investigation is limited in scope and the final report may not be made public. The New York Times did its own investigation. Here’s what we found.,"['Defense and Military Forces', 'Civilian Casualties']",multimedia,Interactive Feature,World
2020-01-01,"Weeks of relative calm ended on Wednesday, as people marched in large numbers and the police deployed tear gas and pepper spray.","['Demonstrations, Protests and Riots', 'Hong Kong Protests (2019)', 'New Year']",article,News,Foreign
2020-01-01,"A Los Angeles County massage therapist, who died in September, had accused Mr. Spacey of groping him and making improper advances during a 2016 massage.","['Sexual Harassment', 'Suits and Litigation (Civil)', 'Movies', '#MeToo Movement', 'Television', 'ACTORS AND ACTRESSES', 'Massage', 'Sex Crimes', 'Academy Awards (Oscars)', 'Golden Globes (Awards)', 'Tony Awards (Theater Awards)']",article,News,Express
2020-01-01,"The president monitored a Middle East crisis from his golf club, threatened Iran and implored reporters to be “honorable” in 2020.","['United States International Relations', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']",article,News,Washington
2020-01-01,"All year long, Earth passes through streams of cosmic debris. Here’s a list of major meteor showers and how to spot one.","['Meteors and Meteorites', 'Space and Astronomy', 'Earth', 'Solar System']",article,News,Science
2020-01-01,"Never miss an eclipse, a meteor shower, a rocket launch or any other astronomical and space event that's out of this world.","['Space and Astronomy', 'Moon', 'Eclipses', 'Seasons and Months', 'Solar System', 'Meteors and Meteorites']",multimedia,Interactive Feature,Science
2020-01-01,"A year full of highs and lows in space just ended, and the 12 months to come  will be full of new highlights in orbit and beyond.","['Space and Astronomy', 'Private Spaceflight', 'Rocket Science and Propulsion', 'Moon', 'Mars (Planet)', 'Sun', 'Mars 2020 (Mars Rover)', 'Satellites', 'International Space Station', 'Comets', 'Perseverance (Mars Rover)', 'Emirates Mars Mission', 'Tianwen-1 (Mars Mission)']",article,News,Science
2020-01-01,“Linda Ronstadt: The Sound of My Voice” airs on CNN. And a new season of “Doctor Who” kicks off on BBC America.,"['Television', 'Movies']",article,News,Culture
2020-01-01,"After months of turmoil in Iraq, U.S. airstrikes against a pro-Iranian militia drew a backlash.","['Politics and Government', 'United States International Relations', 'United States Defense and Military Forces', 'Defense and Military Forces', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'Corruption (Institutional)']",article,News,Foreign
2020-01-01,"Sales doubled in 2019, but the industry’s tipping point — severing ties to the gas pump — still lies ahead. These cars will help make that happen.","['Electric and Hybrid Vehicles', 'Automobile Service and Charging Stations', 'Batteries']",article,News,Business
2020-01-01,"Bush fire season is nothing new to Australians, but this summer has been calamitous — and it’s far from over.","['Fires and Firefighters', 'Wildfires', 'Global Warming']",article,News,Foreign
2020-01-01,"Iran’s ability to deploy militias to attack the American Embassy, with Iraqi support, made clear how much power it wields in Iraq.","['Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'United States Defense and Military Forces', 'United States International Relations']",article,News,Foreign
2020-01-01,"If you brother-in-law wants to slip your son some moola, just make sure it ends up in the right place.",['Comedy and Humor'],article,News,Magazine
2020-01-01,"After the 67-year-old woman fell at the airport, the left side of her body wouldn’t cooperate. The answer to her malady was found in her heart.","['Stroke', 'Brain', 'Heart', 'Medicine and Health']",article,News,Magazine
2020-01-01,"Tangy and juicy, filled with seasoned herbs and hearty leaves, jingalov hats are a joy to eat.","['Cooking and Cookbooks', 'Recipes']",article,News,Magazine
2020-01-01,"David Shariatmadari’s book delves into issues like grammar snobbery, quirks of human and animal speech, and the transformation of even the simplest words.","['Books and Literature', 'Language and Languages']",article,Review,Culture
2020-01-01,"Intermittent fasting, drinking less alcohol and eating more oysters are some of the steps you can try.","['Weight', 'Fasting', 'Diet and Nutrition']",article,News,Well
2020-01-01,California is giving a second chance to thousands of inmates who had no hope of parole. But first they have to prove to a panel of strangers that they’ve truly changed.,"['Prisons and Prisoners', 'Probation and Parole', 'Gangs', 'Sentences (Criminal)']",article,News,Magazine
2020-01-01,"From the poet's 10th book of poems, “Sight Lines,” selected as the National Book Award winner for poetry in 2019. ",['Poetry and Poets'],article,News,Magazine
2020-01-01,Embracing honesty changed my life. Maybe it can change yours.,[],article,News,Well
2020-01-01,Many people say they don’t have the time to work out. But most of us spend hours each day viewing screens.,"['Exercise', 'New Year', 'Leisure', 'Television', 'Time']",article,News,Well
2020-01-01,Interested in the southernmost continent? Here’s a roundup of some of the new ships and itineraries planned for the bucket-list destination.,"['Cruises', 'Travel and Vacations', 'Eco-Tourism', 'Ice']",article,News,Travel
2020-01-01,"From smart homes to ultrafast wireless speeds, here’s what to watch.","['5G (Wireless Communications)', 'Computers and the Internet', 'Wearable Computing', 'Mobile Applications', 'Wireless Communications', 'Driverless and Semiautonomous Vehicles', 'Home Automation and Smart Homes', 'Television', 'International Consumer Electronics Show', 'Television Sets and Media Devices', 'Innovation']",article,News,Business
2020-01-01,"Ahh, winter in New York City.","['Bars and Nightclubs', 'Roofs']",article,News,Metropolitan
2020-01-01,"Just don’t ask him to explain. A likely best actor nominee for “Marriage Story,” he acknowledges that desire for validation, but it’s tricky: “It’s not separate from who I am.”","['Movies', 'ACTORS AND ACTRESSES', 'Gotham Independent Film Awards', 'Academy Awards (Oscars)']",article,News,Arts&Leisure
2020-01-01,An exhibition at the Centre National du Costume de Scène in France considers the dialogue between the stage and the runway.,"['Dancing', 'Fashion and Apparel', 'Costumes']",article,News,Arts&Leisure
2020-01-01,"In 1920, Prohibition went into effect, but America partied on.","['Prohibition Era (1920-1933)', 'ALCOHOLIC BEVERAGES', 'Nineteen Hundred Twenties', 'Cocktails and Mixed Drinks']",article,News,Photo
2020-01-01,"There are signs her campaign is seeking to calm fears about her health care proposal, including having small meetings with rural Iowa voters to explain her financing and transition plans.","['Presidential Election of 2020', 'Health Insurance and Managed Care', 'Primaries and Caucuses']",article,News,Politics
2020-01-01,"For full-time residents who value their privacy, the president’s helicopters can be annoying. But the intrusion is usually short-lived.",['Real Estate and Housing (Residential)'],multimedia,Slideshow,Real Estate
2020-01-01,"The video was created to show off the University of Wisconsin. Instead, it set off a furor, and a reckoning over what it means to be a black student on campus.","['Colleges and Universities', 'Race and Ethnicity', 'Whites', 'Discrimination', 'Black People', 'Blacks', 'Video Recordings, Downloads and Streaming']",article,News,National
2020-01-01,"Residents of the Somerset County township, who span the economic spectrum, often find the helicopters annoying. But the intrusion is usually short-lived.",['Real Estate and Housing (Residential)'],article,News,RealEstate
