date,abstract,keywords,doc_type,material_type,news_desk
2019-07-01,A Ukrainian-Russian developer says he hired the former New York mayor Rudolph W. Giuliani to lobby. Mr. Giuliani says he never lobbied the U.S. government.,"['United States International Relations', 'United States Politics and Government', 'Lobbying and Lobbyists']",article,News,Washington
2019-07-01,"An outpouring of celebration, and a demand for change, 50 years after Stonewall.","['Homosexuality and Bisexuality', 'Parades', 'Demonstrations, Protests and Riots']",article,News,Foreign
2019-07-01,"The idea taking shape inside the Trump administration would amount to negotiating a nuclear freeze that essentially enshrines the status quo, tacitly accepting the North as a nuclear power.","['ARMS CONTROL AND LIMITATION AND DISARMAMENT', 'United States International Relations', 'Nuclear Weapons']",article,News Analysis,Foreign
2019-07-01,"The turboprop airplane crashed into a hangar at Addison Airport, killing eight passengers and two crew members.","['Aviation Accidents, Safety and Disasters', 'AIRLINES AND AIRPLANES', 'Deaths (Fatalities)', 'AIRPORTS']",article,News,Express
2019-07-01,Fellow Berkeley public school students remember the early days of the integration effort: “We were all just kids trying to figure it out on our own.”,"['Segregation and Desegregation', 'Race and Ethnicity', 'Blacks', 'Black People', 'Presidential Election of 2020']",article,News,Politics
2019-07-01,"As summer heats up, here are some ways to keep cool at home.",[],article,News,Smarter Living
2019-07-01,"Quotation of the Day for Monday, July 1, 2019.",[],article,Quote,Summary
2019-07-01,"No corrections appeared in print on Monday, July 1, 2019.",[],article,News,Corrections
2019-07-01,"A resumption of negotiations between Washington and Beijing lifted markets. Still, many doubt the two sides can reach a deal anytime soon.","['International Trade and World Market', 'Economic Conditions and Trends', 'Stocks and Bonds', 'Gold', 'United States Politics and Government']",article,News,Business
2019-07-01,Mr. Trump became the first sitting American commander in chief to set foot in the reclusive country.,['United States Politics and Government'],article,News,Politics
2019-07-01,Here’s what you need to know.,[],article,briefing,NYTNow
2019-07-01,"Novak Djokovic, Naomi Osaka and Venus Williams are among those in action on the first day of the tournament.","['Tennis', 'Wimbledon Tennis Tournament']",article,News,Sports
2019-07-01,Is it still pretending if everyone can see through it?,['Television'],article,Review,Culture
2019-07-01,"Barty’s rise to No. 1 has been sudden — just 12 weeks in the top 10 before reaching the top spot, the fewest ever for a top-ranked woman.","['Tennis', 'Wimbledon Tennis Tournament']",article,News,Sports
2019-07-01,Sarah Jessica Parker’s comedy series returns for a fourth season. And the original “Veronica Mars” lands on Hulu ahead of a reboot.,"['Movies', 'Television']",article,News,Culture
2019-07-01,"After hours of protesting in Hong Kong, demonstrators broke into the Legislative Council chambers on Monday. They were later cleared out by riot police who charged the crowd and used tear gas.","['Police Brutality, Misconduct and Shootings', 'Hong Kong Protests (2019)']",multimedia,Video,
2019-07-01,It goes beyond propaganda.,"['Politics and Government', 'Economic Conditions and Trends', 'Propaganda', 'Human Rights and Human Rights Violations', 'Hong Kong Protests (2019)']",article,News,Business
2019-07-01,Courtesy titles and postage stamps are among the things no longer required at the All England Club.,"['Wimbledon Tennis Tournament', 'Women and Girls']",article,News,Sports
2019-07-01,"Hindus and Muslims have long sparred over a few barren acres in the city of Ayodhya. But since Prime Minister Narendra Modi’s commanding election win, Hindus feel a new optimism.","['Mosques', 'Hinduism', 'Muslims and Islam']",article,News,Foreign
2019-07-01,Will the nation’s largest urban network of speed cameras make the city safer or “one big speed trap?”,"['Cameras', 'Traffic Accidents and Safety', 'Speed Limits and Speeding', 'Roads and Traffic']",article,News,Metro
2019-07-01,"A new forensic technique sailed through its first test in court, leading to a guilty verdict. But beyond the courtroom, a battle over privacy is intensifying.","['Genealogy', 'Genetics and Heredity', 'Forensic Science', 'DNA (Deoxyribonucleic Acid)', 'Murders, Attempted Murders and Homicides']",article,News,National
2019-07-01,"While negotiators press toward a deal to withdraw U.S. troops, the Taliban set off bombs that wrecked a museum, TV station and a school in Kabul, Afghanistan.","['Afghanistan War (2001- )', 'Civilian Casualties', 'Museums']",article,News,Foreign
2019-07-01,"For one patient, a decade of recovery took determination, persistence and the courage to weather repeated setbacks.","['Stroke', 'Therapy and Rehabilitation', 'Brain']",article,News,Well
2019-07-01,“We have to take those elements of this new culture that’s been forced upon us and use that to recreate a culture for ourselves.”,"['Fashion and Apparel', 'Rap and Hip-Hop', 'Blacks', 'Black People', 'Logos']",multimedia,Interactive Feature,Magazine
2019-07-01,Forecasting is tricky when important economic indicators are pointing in different directions.,"['Economic Conditions and Trends', 'Consumer Behavior', 'Recession and Depression', 'United States Economy', 'Consumer Confidence (Economic Indicator)', 'Interest Rates']",article,News,Upshot
2019-07-01,"“The evidence shows that what makes sports really fun for kids is trying hard, making progress, being a good sport, experiencing positive coaching,” a doctor of sports medicine said.","['Athletics and Sports', 'Children and Childhood', 'Sports Injuries', 'Parenting', 'Exercise', 'Coaches and Managers', 'Research']",article,News,Well
2019-07-01,"The bad boys of rock ‘n’ roll are back on tour, sponsored by a group whose members see Stones fans as prime targets for a financial product geared toward retirement.","['ANNUITIES', 'Pop and Rock Music', 'Social Security (US)', 'Elderly', 'Pensions and Retirement Plans', 'ADVERTISING AND MARKETING', 'Personal Finances']",article,News,SundayBusiness
2019-07-01,"Mr. Sorrell quit WPP, the advertising colossus he built from scratch, amid an “allegation of personal misconduct” that was never proved. Now, at 74, he is diving into an unplanned last act.","['ADVERTISING AND MARKETING', 'Mergers, Acquisitions and Divestitures']",article,News,SundayBusiness
2019-07-01,"Do you really need a bar cabinet? Yes, if you want to enjoy your own parties.","['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'Furniture', 'Design']",article,News,RealEstate
2019-07-01,"Huawei is the top threat to American dominance in wireless technology. And the U.S. is woefully, even disgracefully, behind.","['5G (Wireless Communications)', 'Radio Spectrum', 'United States Politics and Government', 'Wireless Communications', 'Innovation', 'Blacklisting']",article,News,Business
2019-07-01,"‘One country, two systems’ was Beijing’s pledge when it took back a former British colony. But concerns over civil liberties are mounting.","['Politics and Government', 'Freedom of Speech and Expression', 'Demonstrations, Protests and Riots', 'Human Rights and Human Rights Violations', 'Extradition']",article,News,Foreign
2019-07-01,"Surfboard-packed waves, New York City views and fish tacos galore, all just a subway (or ferry) ride from Manhattan.","['Surfing', 'Travel and Vacations']",article,News,Travel
2019-07-01,Nora Keegan noticed that dryers tended to be closer to children’s ears. So she set out on a study that was eventually published in a medical journal in Canada.,"['Ears and Hearing', 'Children and Childhood', 'Noise', 'Bathrooms and Toilets']",article,News,Express
2019-07-01,The restored Flight Center is a theme park for a fantasy version of 1962.,"['Hotels and Travel Lodgings', 'AIRPORTS', 'Travel and Vacations']",multimedia,Slideshow,Travel
2019-07-01,"A grand jury revived the case against the actor, who was accused of staging a hate crime against himself before prosecutors dropped the charges last year. Here’s a look at the evidence.","['Hoaxes and Pranks', 'Hate Crimes', 'Homosexuality and Bisexuality']",article,News,Culture
2019-07-01,"Amazon passed on it, and few travelers stop there, but New York City’s most diverse borough has sights worth seeing and restaurants that put it at the center of the city’s foodie universe.","['Food', 'Budget Travel', 'Travel and Vacations']",article,News,Travel
2019-07-01,"Our architecture critic finds not quite enough polish at the new hotel in Eero Saarinen’s 1962 TWA Flight Center, despite glamour to spare.","['ARCHITECTURE', 'Hotels and Travel Lodgings', 'Historic Buildings and Sites', 'AIRLINES AND AIRPLANES']",article,News,Travel
2019-07-01,"Monday: A judge has halted New York's plan to turn the busy crosstown route into a transit corridor mainly for buses, trucks and emergency vehicles.","['Automobiles', 'Buses', 'Art', 'Transportation']",article,briefing,Metro
2019-07-01,Here’s what you need to know.,[],article,briefing,NYTNow
2019-07-01,Mr. Buttigieg’s $24.8 million second-quarter total is the latest evidence that he has gone from a long shot to a serious candidate for the nomination in a matter of months.,"['Presidential Election of 2020', 'Campaign Finance', 'United States Politics and Government']",article,News,Politics
2019-07-01,"Despite efforts to introduce movies from other cultures, Bollywood remains the primary choice for the country’s moviegoers.","['Movies', 'Politics and Government', 'Censorship']",article,Op-Ed,OpEd
2019-07-01,"Believers have a spiritual obligation to defend their L.G.B.T.Q. brothers and sisters, even against archbishops.","['Same-Sex Marriage, Civil Unions and Domestic Partnerships', 'Teachers and School Employees', 'Religion-State Relations', 'Private and Sectarian Schools']",article,Op-Ed,OpEd
2019-07-01,"They pay lip service to it, but they actively try to undermine its institutions.",['United States Politics and Government'],article,Op-Ed,OpEd
2019-07-01,"Everywhere and nowhere, he works to keep Visa at the center of the global financial system — and out of political disputes.",['Credit Cards'],article,News,SundayBusiness
2019-07-01,“Safe and sanitary” conditions are legally required for detained migrant children. Reports from a Texas border station set off an outcry that those standards weren’t being met.,"['Immigration Detention', 'Illegal Immigration', 'Immigration and Emigration', 'Child Abuse and Neglect', 'Children and Childhood']",article,News,Podcasts
2019-07-01,"Unless the company makes changes to its encryption and retention policies, using Slack could put your data at risk.","['Computer Security', 'Cyberattacks and Hackers']",article,Op-Ed,OpEd
