date,abstract,keywords,doc_type,material_type,news_desk
2020-02-01,P. Carl’s memoir takes readers on the most personal journey there is.,"['Books and Literature', 'Transgender and Transsexuals']",article,Review,BookReview
2020-02-01,"“A Woman Like Her,” by Sanam Maher, investigates the killing of a 26-year-old social-media celebrity by her brother, and a culture in which independent, outspoken women are not easily tolerated.","['Books and Literature', 'Honor Killings', 'Women and Girls', 'Social Media']",article,Review,BookReview
2020-02-01,"It’s all Iowa, all the time. You may not have been there, but we were. Here’s a rundown of what happened.","['Presidential Election of 2020', 'Primaries and Caucuses']",article,News,Politics
2020-02-01,"Chris Voss details how empathy, bargaining and other tactics can be applied to landing travel perks, avoiding travel penalties and more.","['Travel and Vacations', 'AIRLINES AND AIRPLANES', 'Hotels and Travel Lodgings', 'Books and Literature']",article,News,Travel
2020-02-01,"Led by the Washington bureau, dozens of reporters, editors and other staffers are collaborating around the clock.",['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry'],article,News,Summary
2020-02-01,"Dominic Thiem looks to unseat Novak Djokovic, and two Australian wild cards look to cap a Cinderella story.","['Tennis', 'Australian Open (Tennis)']",article,News,Sports
2020-02-01,The smoldering crater left by the apocalyptic space rock became a nice home for blue-green algae within years of the impact.,['your-feed-science'],article,News,Science
2020-02-01,"Writing “The Girl With the Louding Voice,” about a 14-year-old employed as a housemaid, challenged how the novelist viewed a common practice in her native Nigeria.","['Books and Literature', 'Women and Girls', 'Writing and Writers']",article,News,Culture
2020-02-01,"She is a forceful surrogate for Joe Biden’s campaign, in part because voters like that she has retained her own professional identity: “I admire how she’s always worked.”","['Presidential Election of 2020', 'United States Politics and Government', 'Primaries and Caucuses']",article,News,Politics
2020-02-01,"At Moda Operandi, the luxury runway website, cargo pants won’t do, unless they’re fashion approved.",['Fashion and Apparel'],article,News,Styles
2020-02-01,"With stackable plastic panels, a company called Glice wants to be rink-builder to a warming world.","['Ice', 'Ice Skating', 'Hockey, Ice']",article,News,SundayBusiness
2020-02-01,"Why are Roc Nation and the N.F.L. doing business this Super Bowl weekend? Well, social justice is expensive.","['Football', 'Super Bowl', 'Rap and Hip-Hop', 'Black People', 'Blacks', 'your-feed-longreads']",article,News,Styles
2020-02-01,"As if the caucusing wasn’t confusing enough, officials will release raw vote totals that could allow candidates to spin the results.","['Presidential Election of 2020', 'Primaries and Caucuses', 'News and News Media']",article,News,Politics
2020-02-01,"In traffic-clogged cities around the world, the skies are abuzz with helicopters.","['Helicopters', 'Commuting', 'Aviation Accidents, Safety and Disasters', 'High Net Worth Individuals', 'AIRLINES AND AIRPLANES']",article,News,Styles
2020-02-01,"American sanctions, intended to oust an authoritarian president, forced changes that have eased tensions and improved life — for some. Others see a more unequal country that has turned away from its socialist-inspired revolution.","['Economic Conditions and Trends', 'Embargoes and Sanctions', 'Income Inequality', 'Politics and Government', 'Regulation and Deregulation of Industry', 'Capitalism (Theory and Philosophy)', 'Nationalization of Industry']",article,News,Foreign
2020-02-01,"In the aftermath of hurricanes Irma and Maria, many hoteliers in the Caribbean have regrouped and rebuilt — and are ushering in a new age of hospitality.","['Travel and Vacations', 'Hotels and Travel Lodgings', 'Islands']",article,News,Travel
