date,abstract,keywords,doc_type,material_type,news_desk
2020-03-01,Joseph R. Biden Jr. drew on his decades-long relationships and leveraged his close bond with black voters to wrap up a state long considered his stronghold.,"['Presidential Elections (US)', 'Primaries and Caucuses', 'Presidential Election of 2020', 'Voting and Voters', 'Black People', 'Blacks', 'Polls and Public Opinion']",article,News,Politics
2020-03-01,"President Trump appeared eager to bask in the warm reception of a conservative audience, who spent the conference listening to speakers road-testing messages for his re-election campaign.","['Presidential Election of 2020', 'Tax Cuts and Jobs Act (2017)', 'Appointments and Executive Changes', 'Coronavirus (2019-nCoV)']",article,News,Washington
2020-03-01,Gov. Andrew M. Cuomo announced on Saturday that soon the team would again play all of its home games at Nassau Coliseum on Long Island until a new arena opens.,"['Hockey, Ice', 'Stadiums and Arenas']",article,News,Sports
2020-03-01,"A person in the Seattle area has died, officials said. Mr. Trump called more cases “likely” but added that “there’s no reason to panic at all.”","['Coronavirus (2019-nCoV)', 'Presidential Election of 2020']",article,News,Washington
2020-03-01,"Officials filed felony hate-crime charges against two women accused of assault in a Boston neighborhood, where more than half of the residents are Latino.","['Assaults', 'Hate Crimes', 'Hispanic-Americans', 'Discrimination', 'Race and Ethnicity', 'Immigration and Emigration']",article,News,Express
2020-03-01,"For more than 30 years, over three presidential runs, Mr. Biden has been waiting to notch a victory like the one in South Carolina. Now he has to face the test of Super Tuesday.","['Primaries and Caucuses', 'Presidential Election of 2020', 'Campaign Finance', 'Voting and Voters', 'United States Politics and Government']",article,News Analysis,Politics
2020-03-01,"Facing better-known and better-financed opponents, Pete Buttigieg knew he would struggle to attract black voters in South Carolina. On Saturday his efforts came up empty.","['Primaries and Caucuses', 'Presidential Election of 2020', 'Black People', 'Blacks']",article,News,Politics
2020-03-01,"Mr. Steyer, the former hedge-fund executive, exited the race after a disappointing finish in South Carolina — a state where he had spent considerable resources and pinned the hopes of his campaign.","['Presidential Election of 2020', 'Campaign Finance', 'Primaries and Caucuses', 'United States Politics and Government']",article,News,Politics
2020-03-01,"The former vice president energized his campaign with a big win in South Carolina. And Bernie Sanders, who came in a distant second, had his largest loss so far.","['Presidential Election of 2020', 'Primaries and Caucuses']",multimedia,Video,
2020-03-01,President Trump found himself veering off message in discussing the two big news stories of the day: the signing of an agreement with the Taliban and the spread of the coronavirus.,"['Politics and Government', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']",article,News,National
2020-03-01,The couple met in January 2017 at a neighborhood bar on the Upper East Side.,['Weddings and Engagements'],article,News,Society
2020-03-01,The couple met in 2014 at a mutual friend’s home in Los Angeles.,['Weddings and Engagements'],article,News,Society
2020-03-01,The couple met as parishioners at Harvest City Church in 2011.,['Weddings and Engagements'],article,News,Society
2020-03-01,"The couple, who both attended Teaneck High School in Teaneck, N.J., began dating after seeing each other at a mutual friend’s going-away party in New York.",['Weddings and Engagements'],article,News,Society
2020-03-01,"Corrections that appeared in print on Sunday, March 1, 2020.",[],article,News,Corrections
2020-03-01,"Quotation of the Day for Sunday, March 1, 2020.",[],article,Quote,Summary
2020-03-01,He played an intellectual otter and she a dancing red bell pepper in the workshop of a new play.,['Weddings and Engagements'],article,News,Society
2020-03-01,"The couple met in March 2011 at a housewarming party in New York, which was hosted by their mutual friends.",['Weddings and Engagements'],article,News,Society
2020-03-01,"Their first date was at a bagel shop one morning, around 6, before they each headed to work.",['Weddings and Engagements'],article,News,Society
2020-03-01,The second death was a man in his 70s in the Seattle area who had underlying health conditions.,['Coronavirus (2019-nCoV)'],article,News,Foreign
2020-03-01,"Jason Segel stars in a new anthology on AMC, while the 12th season of “Doctor Who” comes to a close on BBC America.","['Movies', 'Television']",article,News,Culture
2020-03-01,"Mulaney, the comic and former “S.N.L.” writer, and the cast took aim at Mike Pence, the Democratic presidential race and La Guardia Airport, among other targets.",['Television'],article,News,Culture
2020-03-01,"A morning routine, a Katharine Gibbs student goes to a show and more reader tales of New York City in this week’s Metropolitan Diary.",[],article,News,Metropolitan
2020-03-01,"A British film crew shooting in Italy suddenly found concern about the coronavirus encroaching, including a text from the director’s mother.","['Coronavirus (2019-nCoV)', 'Epidemics', 'Movies']",article,News,Foreign
2020-03-01,"The election on Monday might break a yearlong political deadlock. But huge challenges in health, education and transit are decades in the making.","['Politics and Government', 'Economic Conditions and Trends', 'Roads and Traffic', 'Transit Systems', 'Education (K-12)', 'Hospitals', 'Labor and Jobs', 'Productivity', 'Population']",article,News,Foreign
2020-03-01,This war is different.,"['Afghanistan War (2001- )', 'War and Revolution']",multimedia,Interactive Feature,World
2020-03-01,"Joe Biden is “very much alive,” but the race is far from over as the Democratic presidential candidates turn toward the 16 contests on Tuesday.",['Presidential Election of 2020'],article,News,Politics
2020-03-01,Recent residential sales in New York City and the region.,['Real Estate and Housing (Residential)'],article,News,RealEstate
2020-03-01,"As a reporter covering Texas, I ate, worked and slept in my trusty, company-issued Chevy. So allow me a moment to observe the end of its road.","['News and News Media', 'Road Trips', 'Newspapers', 'Hurricanes and Tropical Storms']",article,News,Summary
2020-03-01,"Virginia’s shift to the Democrats has been led by suburban moderates, especially college-educated women. Some wonder whether Mr. Sanders is what they signed up for.","['Presidential Election of 2020', 'Primaries and Caucuses', 'Women and Girls']",article,News,Politics
2020-03-01,"A union representing employees at airport Starbucks locations says immigrant, transgender and black baristas have faced discrimination.","['Discrimination', 'Organized Labor', 'Wages and Salaries', 'Race and Ethnicity', 'Black People', 'Blacks', 'Transgender and Transsexuals', 'AIRPORTS', 'Immigration and Emigration']",article,News,Express
2020-03-01,Mr. Sanders’s campaign said that it had received 2.2 million donations in the month. Elizabeth Warren’s team announced raising $29 million over the same period.,"['Presidential Election of 2020', 'Campaign Finance', 'Political Advertising']",article,News,Politics
2020-03-01,The loss paves the way for a new governing coalition after the main opposition group ran a campaign under the slogan “Together Against the Mafia.”,"['Politics and Government', 'Corruption (Institutional)', 'Elections', 'Neo Nazi Groups', 'Organized Crime']",article,News,Foreign
2020-03-01,Here’s what you need to know about the week’s top stories.,[],article,briefing,NYTNow
2020-03-01,He needs to capitalize on his big South Carolina win to stay competitive with Bernie Sanders.,"['Presidential Election of 2020', 'Primaries and Caucuses']",article,Op-Ed,Editorial
2020-03-01,"I’m going to do my taxes this week. There, I said it. Maybe now I’ll actually follow through. Or I’ll spend the week wandering from supermarket to supermarket, stocking up on canned soup. The coronavirus has been rattling the business world since January, but this week was different: It sent the markets tumbling and now seems poised to disrupt every aspect of American life. Maybe we’ll all end up doing our taxes from the safety of a bunker. — David Yaffe-Bellany","['Stocks and Bonds', 'United States Economy', 'Coronavirus (2019-nCoV)', 'Mergers, Acquisitions and Divestitures', 'International Trade and World Market']",article,News,SundayBusiness
2020-03-01,The rule is intended to weed out candidates who don’t have a viable path to the nomination.,"['Primaries and Caucuses', 'Presidential Election of 2020', 'United States Politics and Government']",article,News,Express
2020-03-01,"Afghanistan’s president said he had not agreed to release up to 5,000 prisoners, as a deal between the United States and the Taliban appears to require.","['Terrorism', 'Women and Girls', 'Afghanistan War (2001- )']",article,News,Washington
2020-03-01,"Who gets to be part of the gang? Who gets pushed out? Celine, Comme des Garçons and Balmain offer different answers.","['Fashion and Apparel', 'Paris Fashion Week', 'your-feed-fashion']",article,News,Styles
2020-03-01,See the looks from the Balenciaga: Fall 2020 Collection.,['Paris Fashion Week'],multimedia,Slideshow,Fashion & Style
2020-03-01,"Seidel, 25, has two jobs, shares an apartment with her sister and runs turkey trots in costume. No, she can’t believe this is happening, either.","['Olympic Games (2020)', 'Marathon Running']",article,News,Sports
2020-03-01,"One designer was independent, the other aligned with major houses. But new books show both had an outsize effect on fashion.","['Fashion and Apparel', 'Books and Literature', 'Design', 'Creativity', 'your-feed-fashion']",article,News,Styles
2020-03-01,"With a clear head and some simple tips, you can help reduce your risk, prepare your family and do your part to protect others.","['Coronavirus (2019-nCoV)', 'Travel Warnings', 'Travel and Vacations', 'Hygiene and Cleanliness', 'Masks', 'Epidemics', 'Vaccination and Immunization']",article,briefing,Express
2020-03-01,His old friends bucked him up on Saturday. Will it give him a charge for Super Tuesday? Here’s a look at scenes from the Palmetto State.,"['Presidential Election of 2020', 'Primaries and Caucuses']",article,Op-Ed,OpEd
2020-03-01,Dawn Perry makes the case for boneless chicken breasts in three recipes. Make one — or all three — in the days to come.,['Cooking and Cookbooks'],article,News,Dining
2020-03-01,"The military deployed troops to the Greek border with Turkey, warned migrants by text message not to cross and announced summary deportations.","['Immigration and Emigration', 'Refugees and Displaced Persons', 'Defense and Military Forces']",article,News,Foreign
2020-03-01,See the looks from the Thom Browne: Fall 2020 Collection.,['Paris Fashion Week'],multimedia,Slideshow,Fashion & Style
