date,abstract,keywords,doc_type,material_type,news_desk
2020-10-01,Our president as a terrible toddler.,"['Presidential Election of 2020', 'Debates (Political)']",article,Op-Ed,OpEd
2020-10-01,"The Lakers fell into a deficit early but fought back with a string of 3-pointers. The Heat were hobbled by injuries, a concern for the rest of the series.","['Basketball', 'NBA Championship', 'Playoff Games']",article,News,Sports
2020-10-01,"Instead of condemning violent groups, the president marshals them.","['Presidential Election of 2020', 'United States Politics and Government', 'Right-Wing Extremism and Alt-Right', 'Fringe Groups and Movements', 'Whites', 'Debates (Political)', 'Demonstrations, Protests and Riots']",article,Op-Ed,OpEd
2020-10-01,"Facebook on Wednesday said it would prohibit the purchase of ads that seek to delegitimize the outcome of the Nov. 3 election, as the social network prepares for a turbulent next few weeks.",[],article,News,Politics
2020-10-01,"If the Democratic Party claims to value Black support, then they should work harder to make it happen.","['Black People', 'Blacks', 'Presidential Election of 2020', 'United States Politics and Government', 'State Legislatures', 'Elections, Senate']",article,Op-Ed,OpEd
2020-10-01,The majority of taxpayers can’t afford the expensive professional advice on which successful tax-avoidance strategies depend.,"['Tax Shelters', 'Income Tax', 'Federal Taxes (US)', 'Trump Tax Returns']",article,Op-Ed,OpEd
2020-10-01,The exchange resumed trading on Friday after a technical problem left investors unable to place orders on Thursday.,['Stocks and Bonds'],article,News,Business
2020-10-01,A slide show including some of our most popular images published from 2016 to 2020 in “What’s Going On in This Picture?”,[],multimedia,Slideshow,The Learning Network
2020-10-01,Adam Fromm is on the line.,['Crossword Puzzles'],article,News,Games
2020-10-01,"Quotation of the Day for Thursday, October 1, 2020.",[],article,Quote,Summary
2020-10-01,"Corrections that appeared in print on Thursday, Oct. 1, 2020.",[],article,Correction,Corrections
2020-10-01,Here’s what you need to know.,"['Coronavirus (2019-nCoV)', 'Coronavirus Reopenings', 'Coronavirus Aid, Relief, and Economic Security Act (2020)']",article,briefing,NYTNow
2020-10-01,"Novak Djokovic, Sofia Kenin and Karolina Pliskova will be featured on Court Philippe-Chatrier as the second round wraps up.","['Tennis', 'French Open (Tennis)']",article,News,Sports
2020-10-01,Tom Brady and the Buccaneers are building momentum and the Bears hope to continue an improbable start. Two games — Chiefs-Patriots and Titans-Steelers — have been postponed.,['Football'],article,News,Sports
2020-10-01,"After months of chaos in the city, something had to be done, and the Chinese government did it.","['Politics and Government', 'Constitutions', 'Secession and Independence Movements', 'Coronavirus (2019-nCoV)', 'Fugitives', 'Embargoes and Sanctions', 'Law and Legislation', 'United States Politics and Government', 'Human Rights and Human Rights Violations', 'Extradition']",article,Op-Ed,OpEd
2020-10-01,"“Driving home from the hospital with no baby,” Ms. Teigen wrote on Twitter. “How can this be real.” She said she and her husband had decided to call the infant Jack.","['Models (Professional)', 'Social Media', 'Miscarriages']",article,News,Styles
2020-10-01,This word has appeared in 23 articles on NYTimes.com in the past year.,[],article,News,Learning
