date,abstract,keywords,doc_type,material_type,news_desk
2020-06-01,"So far, 47 police vehicles have been damaged. Some protesters say the attacks reflect pent-up rage against the police, while officials have denounced the destruction.","['Demonstrations, Protests and Riots', 'Police Brutality, Misconduct and Shootings', 'Attacks on Police', 'Automobiles', 'George Floyd Protests (2020)']",article,News,Metro
2020-06-01,The death of George Floyd at the hands of the police set off days of protests in Minneapolis. Demonstrators challenged a curfew on Saturday and took to the streets for the fifth day in a row. Here’s why.,"['George Floyd Protests (2020)', 'Demonstrations, Protests and Riots', 'Race and Ethnicity', 'Black People', 'Blacks', 'Black Lives Matter Movement', 'Police Brutality, Misconduct and Shootings', 'Looting (Crime)']",multimedia,Video,
2020-06-01,The truck can be seen speeding toward protesters on a highway as demonstrations continued in Minneapolis for the sixth straight night.,"['Demonstrations, Protests and Riots', 'Video Recordings, Downloads and Streaming', 'George Floyd Protests (2020)']",multimedia,Video,
2020-06-01,"In communities across the country, congregations that had sequestered for months to avoid the coronavirus ventured forth at a social distance in search of comfort.","['Churches (Buildings)', 'Coronavirus (2019-nCoV)', 'Demonstrations, Protests and Riots']",article,News,National
2020-06-01,"Videos showed officers using batons, tear gas, pepper spray and rubber bullets on protesters and bystanders.","['George Floyd Protests (2020)', 'Demonstrations, Protests and Riots', 'Police Brutality, Misconduct and Shootings', 'Black People', 'Blacks', 'Attacks on Police', 'Tear Gas', 'Black Lives Matter Movement']",article,News,National
2020-06-01,"The installations, often decades in the making and all of them temporary, required the cooperation of numerous people, many of whom had little interest in art.",[],multimedia,Slideshow,Arts
2020-06-01,"The authorities said no one had been struck, but protesters reported that several people may have been injured.","['Demonstrations, Protests and Riots', 'George Floyd Protests (2020)']",article,News,National
2020-06-01,Axe and Chuck grapple with the sins of their fathers. Wendy takes a deeper in interest in art.,['Television'],article,Review,Culture
2020-06-01,"Get help with parenting issues, blast a favorite show tune and, if you dare, sign up for an open mic.",['Quarantine (Life and Culture)'],article,News,AtHome
2020-06-01,"Thousands of people gathered across the city over the weekend at protests prompted by the death of George Floyd, who died last week after a police officer in Minneapolis knelt on his neck for nearly nine minutes.","['Demonstrations, Protests and Riots', 'Black Lives Matter Movement', 'Police Brutality, Misconduct and Shootings', 'George Floyd Protests (2020)']",multimedia,Interactive Feature,New York
2020-06-01,Sheriff Christopher R. Swanson of Genesee County walked with demonstrators protesting police brutality and the death of George Floyd.,"['Police Brutality, Misconduct and Shootings', 'Black People', 'Blacks', 'Demonstrations, Protests and Riots', 'Black Lives Matter Movement', 'George Floyd Protests (2020)']",article,News,Express
2020-06-01,These are our most striking photos from five days of protest where crowds of demonstrators stopped traffic and clashed with police.,"['Demonstrations, Protests and Riots', 'Black Lives Matter Movement', 'Police Brutality, Misconduct and Shootings', 'George Floyd Protests (2020)']",article,News,Metro
2020-06-01,"The Times has reconstructed the death of George Floyd on May 25. Security footage, witness videos and official documents show how a series of actions by officers turned fatal. (This video contains scenes of graphic violence.)","['Police Brutality, Misconduct and Shootings', 'Black People', 'Blacks', 'Black Lives Matter Movement', 'Video Recordings, Downloads and Streaming', 'George Floyd Protests (2020)']",multimedia,Video,
2020-06-01,"The Times has reconstructed the death of George Floyd on May 25. Security footage, witness videos and official documents show how a series of actions by officers turned fatal.","['Police Brutality, Misconduct and Shootings', 'Murders, Attempted Murders and Homicides', 'Black People', 'Blacks', 'Black Lives Matter Movement', 'George Floyd Protests (2020)']",article,News,Foreign
2020-06-01,Michigan’s governor lifted a stay-at-home order as other states announced steps to reopen. A Rohingya Muslim who lived in a Bangladeshwe  refugee camp died of the coronavirus.,['Coronavirus (2019-nCoV)'],article,News,National
2020-06-01,Here’s what you need to know.,[],article,briefing,NYTNow
2020-06-01,"Quotation of the Day for Monday, June 1, 2020.",[],article,Quote,Summary
2020-06-01,"No corrections appeared in print on Monday, June 1, 2020.",[],article,News,Corrections
