date,abstract,keywords,doc_type,material_type,news_desk
2020-08-01,"In 2019, the Trump Organization showed improvement over the previous year. But the company’s minimum reported revenues still fell short of the president’s first year in office, his new financial disclosure shows.","['Coronavirus (2019-nCoV)', 'Hotels and Travel Lodgings', 'United States Politics and Government', 'Shutdowns (Institutional)', 'Real Estate (Commercial)', 'Company Reports']",article,News,Investigative
2020-08-01,"The release came more than a week after a judge ruled that the girl, who violated the terms of her probation by skipping coursework, should remain at the juvenile facility.","['Juvenile Delinquency', 'Decisions and Verdicts', 'Children and Childhood']",article,News,Express
2020-08-01,"If you’re an officer of the law, dress like one. Leave the soldiering to soldiers.","['Demonstrations, Protests and Riots', 'Camouflage', 'Uniforms', 'Federal-State Relations (US)']",article,Editorial,Editorial
2020-08-01,"An American researcher created the polio vaccine, but a Toronto lab and a pioneering female scientist made its mass production possible.",['Vaccination and Immunization'],article,News,Foreign
2020-08-01,"Quotation of the Day for Saturday, August 1, 2020.",[],article,Quote,Summary
2020-08-01,"Corrections that appeared in print on Saturday, Aug. 1, 2020.",[],article,Correction,Corrections
2020-08-01,"The soccer star and activist leads a discussion on HBO, and an Amazon docuseries looks back on the murder of a D.E.A. agent.","['Television', 'Movies']",article,News,Culture
2020-08-01,"As more schools abandon plans for in-person classes, one that opened in Indiana this week had to quarantine students within hours.","['Education (K-12)', 'Coronavirus Reopenings', 'Coronavirus (2019-nCoV)', 'Teachers and School Employees']",article,News,National
2020-08-01,"The N.H.L. chose the small-market, hockey-mad city as one of two “hub cities” — along with Toronto — to host its playoffs.","['Hockey, Ice', 'Coronavirus Reopenings', 'Playoff Games', 'Coronavirus (2019-nCoV)']",article,News,Sports
2020-08-01,"The young British actress stars in “Hanna,” the action drama on Amazon.",['ACTORS AND ACTRESSES'],article,News,Styles
2020-08-01,"President Trump’s more sober messaging on the coronavirus crisis didn’t last long. For Joe Biden, the search for a running mate may last a little longer.","['Presidential Election of 2020', 'Coronavirus (2019-nCoV)']",article,News,Politics
2020-08-01,"Bear with us. We know this sounds bonkers, but it really does work.","['Quarantine (Life and Culture)', 'Pizza', 'Cooking and Cookbooks', 'Content Type: Service']",article,News,AtHome
2020-08-01,"Slowly, scientists are learning how lianas quickly climb.","['Trees and Shrubs', 'Forests and Forestry', 'your-feed-science']",article,News,Science
2020-08-01,New York parents of means are seeking less congested classrooms near their second homes in the Hamptons and Hudson Valley. Not everyone is happy about this.,"['Education (K-12)', 'Private and Sectarian Schools', 'Children and Childhood', 'Coronavirus Reopenings', 'Coronavirus (2019-nCoV)', 'High Net Worth Individuals', 'Second Homes and Non-Primary Residences']",article,News,Styles
2020-08-01,"Nearly two-thirds of GEDmatch’s users opt out of helping law enforcement. For a brief window this month, that didn’t matter.","['Genealogy', 'Forensic Science', 'Genetics and Heredity', 'Computer Security', 'DNA (Deoxyribonucleic Acid)', 'Computers and the Internet', 'Cyberattacks and Hackers', 'Murders, Attempted Murders and Homicides']",article,News,Express
2020-08-01,Federal agencies suggest caution in U.S. bat research to avoid transmitting the novel coronavirus to wildlife.,"['Coronavirus (2019-nCoV)', 'Bats', 'your-feed-science']",article,News,Science
2020-08-01,Critics say the First Step Act is being applied too arbitrarily by judges who are taking a hard line when it comes to revisiting nonviolent drug sentences.,"['Mandatory Sentencing', 'Cocaine and Crack Cocaine', 'Criminal Justice', 'Drug Abuse and Traffic', 'Prisons and Prisoners', 'Law and Legislation', 'Probation and Parole', 'Sentences (Criminal)', 'Black People', 'Blacks']",article,News,Washington
2020-08-01,Groups of fraternity brothers and sorority sisters are working to kick their organizations off campus.,"['Fraternities and Sororities', 'Colleges and Universities', 'George Floyd Protests (2020)', 'Discrimination', 'Race and Ethnicity', 'Social Media', 'your-feed-selfcare']",article,News,Styles
2020-08-01,"Young Russians are partying again, seeking a return to normal life and willing to risk a coronavirus surge. “We are people, not robots, and want to have a life,” said a bar patron (and doctor).","['Masks', 'Coronavirus (2019-nCoV)', 'Bars and Nightclubs']",article,News,Foreign
2020-08-01,Game publishers are digging through their vaults to remake or remaster popular titles in a bid to kindle players’ nostalgia.,"['Computer and Video Games', 'Video Recordings, Downloads and Streaming', 'PlayStation (Video Game System)']",article,News,Business
2020-08-01,Germany has woken up to a problem of far-right extremism in its elite special forces. But the threat of neo-Nazi infiltration of state institutions is much broader.,"['Neo Nazi Groups', 'Fringe Groups and Movements', 'Murders, Attempted Murders and Homicides']",article,News,Foreign
2020-08-01,"Despite their disparate backgrounds, the Illinois Democrat has carved out a public life most evocative of the man she could join on the presidential ticket.","['Presidential Election of 2020', 'Vice Presidents and Vice Presidency (US)', 'Veterans', 'United States Defense and Military Forces']",article,News,Politics
2020-08-01,"Overcrowding, not density, has defined many coronavirus hot spots. Service workers’ quarters skirting Silicon Valley are no exception.","['Real Estate and Housing (Residential)', 'Renting and Leasing (Real Estate)', 'Affordable Housing', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Labor and Jobs', 'Income Inequality', 'Service Industries', 'Urban Areas']",article,News,SundayBusiness
2020-08-01,"In skeleton, the headfirst Olympic sledding sport, the opportunity for unlimited training on the track can be a huge advantage. But Canadian Olympians who had such access believe it was bad for their brains.","['Skeleton (Sport)', 'Traumatic Brain Injury', 'Concussions', 'Olympic Games (2010)', 'Mental Health and Disorders']",article,News,Sports
2020-08-01,"The world’s largest vaccine producer, the Serum Institute, announced a plan to make hundreds of millions of doses of an unproven inoculation. It’s a gamble with a huge upside. And huge risks.","['Vaccination and Immunization', 'Coronavirus (2019-nCoV)', 'Clinical Trials']",article,News,Foreign
2020-08-01,The pandemic has inspired a flurry of new and novel items — and given ordinary ones new meanings.,"['Archives and Records', 'Design', 'Collectors and Collections', 'Museums', 'Coronavirus (2019-nCoV)', 'Quarantine (Life and Culture)']",article,News,Arts&Leisure
2020-08-01,"In a televised speech, Ayatollah Ali Khamenei, Iran’s supreme leader, said that negotiating with Washington over his country’s nuclear program would only help President Trump get re-elected.","['Embargoes and Sanctions', 'United States International Relations', 'Nuclear Weapons']",article,News,Foreign
2020-08-01,Thousands in Berlin protest Germany’s coronavirus measures. The virus is picking up speed in the Midwest. A summer camp in Georgia apologizes for hosting a retreat after hundreds who attended were infected.,['Coronavirus (2019-nCoV)'],article,News,Sports
2020-08-01,The government has leveraged anger over the collapse of Genoa’s Morandi Bridge to take back control of the nation’s highways. But critics say the deal sends a troubling message to investors.,"['Politics and Government', 'Infrastructure (Public Works)', 'Bridges and Tunnels', 'Privatization', 'Roads and Traffic', 'Tolls', 'Regulation and Deregulation of Industry']",article,News,Foreign
2020-08-01,"The tropical storm is expected to be upgraded to a hurricane again overnight and may hit Florida’s coast, further testing a state that has been battered by the coronavirus pandemic.","['Hurricanes and Tropical Storms', 'Coronavirus (2019-nCoV)']",article,News,National
2020-08-01,"Yasmin Fahr’s sheet-pan baked feta, Angela Dimayuga’s black cherry-pistachio salad, and more recipes.",[],article,News,Dining
2020-08-01,"He challenged redlining banks, employers who discriminated in hiring and, early in his career, Southern counties that thwarted Black voters.","['Deaths (Obituaries)', 'Suits and Litigation (Civil)', 'Black People', 'Blacks', 'Race and Ethnicity', 'Civil Rights Movement (1954-68)', 'Legal Profession', 'Banking and Financial Institutions']",article,Obituary (Obit),Obits
2020-08-01,"Stigmatized, out of work and facing dangers, migrant laborers are returning by the thousands — and may be fueling a growing outbreak in Ethiopia.","['Coronavirus (2019-nCoV)', 'Foreign Workers', 'Migrant Labor (Non-Agriculture)', 'Immigration and Emigration', 'Quarantines']",article,News,Foreign
2020-08-01,"As August arrives, you can learn how an author conjured Elizabethan England and engage your children’s five senses in a mystery game.",['Quarantine (Life and Culture)'],article,News,AtHome
2020-08-01,New York issued guidelines for how residential buildings should safely operate — but there no consequences for failing to comply.,"['Real Estate and Housing (Residential)', 'Coronavirus (2019-nCoV)', 'Coronavirus Reopenings', 'Coronavirus Risks and Safety Concerns']",article,News,RealEstate
2020-08-01,"After fending off international criticism on rainforest destruction, President Jair Bolsonaro caved to pressure and took steps to curb deforestation and forest fires.","['Forests and Forestry', 'Wildfires', 'Environment', 'Indigenous People']",article,News,Foreign
2020-08-01,House Republicans are on the defensive in suburban strongholds as voters reject President Trump’s handling of the coronavirus.,"['United States Politics and Government', 'Elections, House of Representatives', 'Suburbs']",article,News,Washington
2020-08-01,"States like Missouri, Illinois and Wisconsin are riding a frustrating seesaw during the pandemic, with new coronavirus cases rising again after apparent progress.","['Coronavirus (2019-nCoV)', 'Disease Rates', 'States (US)']",article,News,National
2020-08-01,The Trump administration has said the video app poses security concerns because of its Chinese ownership.,"['Mergers, Acquisitions and Divestitures', 'Mobile Applications', 'United States Politics and Government']",article,News,Business
2020-08-01,Friends remember his jokes and his dancing as well as his medical care. He died of the novel coronavirus.,"['Deaths (Obituaries)', 'Coronavirus (2019-nCoV)', 'Doctors']",article,Obituary (Obit),Obits
2020-08-01,"Emily Cox and Henry Rathvon, what should we call an erudite brace of acrostic constructors?",['Crossword Puzzles'],article,News,Games
2020-08-01,"Sabrina Ionescu, who was selected with the top draft pick by the Liberty, sprained her left ankle in a game against the Atlanta Dream.","['Basketball', 'Sports Injuries']",article,News,Sports
2020-08-01,Bob Behnken and Doug Hurley are getting ready to splash down after two months in orbit.,"['Space and Astronomy', 'Rocket Science and Propulsion', 'Private Spaceflight', 'Hurricanes and Tropical Storms', 'International Space Station']",article,News,Science
2020-08-01,"Three staffers and one player for the St. Louis Cardinals tested positive for the virus, prompting the postponement of a game Saturday and a doubleheader Sunday against the Brewers in Milwaukee.","['Baseball', 'Coronavirus (2019-nCoV)', 'Coronavirus Reopenings']",article,News,Sports
2020-08-01,A large club of Trump administration evictees have turned their bracingly bad experiences into a new genre: political revenge literature.,"['Presidential Election of 2016', 'United States Politics and Government', 'Writing and Writers', 'Books and Literature']",article,News,Politics
2020-08-01,"Readers discuss a series of articles about the impact of the Americans With Disabilities Act, passed 30 years ago.","['Disabilities', 'AMERICANS WITH DISABILITIES ACT']",article,Letter,Letters
2020-08-01,You can make paper flowers as elaborate or a simple as you’d like. A simple bloom is a good place to start.,"['Quarantine (Life and Culture)', 'Newspapers', 'Handicrafts', 'Content Type: Service']",article,News,Travel
2020-08-01,"With socially distanced gatherings now the norm, we talked to a few people about how they planned to celebrate one of Islam’s holiest days.","['Eid al-Adha', 'Coronavirus (2019-nCoV)', 'Holidays and Special Occasions']",article,News,National
2020-08-01,"In Brandy Colbert’s “The Voting Booth,” a girl who’s been speaking out since age 7 helps a drummer make his voice heard.",['Books and Literature'],article,Review,BookReview
2020-08-01,"In Carrie Firestone’s “Dress Coded,” a middle school’s sexist dress code is more terrifying than the bears wandering through its woods.",['Books and Literature'],article,Review,BookReview
2020-08-01,Many of his aides and close allies are veteran Washington hands who have profited from advising big corporations. The Sanders-Warren wing of the party is not happy.,"['Presidential Election of 2020', 'United States Politics and Government', 'Campaign Finance', 'Lobbying and Lobbyists']",article,News,Washington
2020-08-01,"I was searching for facts, for a lost friend, and for what couldn’t be explained.","['Psychics and Fortune Tellers', 'Grief (Emotion)', 'Religion and Belief']",article,Op-Ed,OpEd
2020-08-01,President Trump is talking about banning the app. TikTok may also sell its U.S. operations. Let’s sort through it all here.,"['Mobile Applications', 'Social Media', 'United States Politics and Government', 'Executive Orders and Memorandums', 'Mergers, Acquisitions and Divestitures', 'Computers and the Internet']",article,News,Business
2020-08-01,"Demon sperm meets alien D.N.A., as President Trump teeters.","['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Coronavirus (2019-nCoV)', 'Presidential Election of 2020', 'United States Politics and Government', 'Masks', 'Stimulus (Economic)']",article,Op-Ed,OpEd
2020-08-01,Students at Minerva spend four years entirely online. Is this the future of higher education?,"['Coronavirus (2019-nCoV)', 'Colleges and Universities', 'E-Learning', 'Quarantine (Life and Culture)', 'International Study and Teaching', 'Innovation']",article,Op-Ed,OpEd
2020-08-01,"At Random House and elsewhere, including his own Summit imprint, he worked with James Baldwin, Marilyn French, Hunter S. Thompson and many others.","['Deaths (Obituaries)', 'Books and Literature', 'Book Trade and Publishing']",article,Obituary (Obit),Obits
2020-08-01,"The couple’s investments, mostly in real estate, were worth at least $204 million and as much as $783 million.","['Appointments and Executive Changes', 'United States Politics and Government', 'Income']",article,News,Business
