date,abstract,keywords,doc_type,material_type,news_desk
2019-05-01,"Mr. Trump, here’s a fight worth having.","['Infrastructure (Public Works)', 'United States Politics and Government']",article,Editorial,Editorial
2019-05-01,We are much more likely to give consent than we think.,"['Search and Seizure', 'Police', 'Privacy', 'Cellular Telephones']",article,Op-Ed,OpEd
2019-05-01,White evangelicals are tired of letting their fear of outsiders outweigh their duties as Christians.,"['Immigration and Emigration', 'Migrant Labor (Agriculture)', 'Evangelical Movement']",article,Op-Ed,OpEd
2019-05-01,"Mike Pompeo, the secretary of state, said in an interview with CNN that Mr. Maduro had planned to flee to Cuba on Tuesday, but was urged by the Russian government to stay.","['United States International Relations', 'Embargoes and Sanctions']",article,News,Washington
2019-05-01,"The president, Graham Spanier, had been convicted on a misdemeanor charge related to failing to report the abuse of a boy by Jerry Sandusky.","['Sex Crimes', 'Child Abuse and Neglect']",article,News,Sports
2019-05-01,No wonder gunmen are coming for us.,"['ANTI-SEMITISM', 'Synagogues', 'Pittsburgh, Pa, Shooting (2018)', 'Passover', 'Jews and Judaism', 'Chabad of Poway Synagogue Shooting (2019)', 'Hate Crimes']",article,Op-Ed,OpEd
2019-05-01,"Corrections appearing in print on Wednesday, May 1, 2019.",[],article,Correction,Corrections
2019-05-01,"Quotation of the Day for Wednesday, May 1, 2019.",[],article,Quote,Summary
2019-05-01,The decision is at least a temporary victory for the president’s critics who say he is willfully flouting constitutional bans.,['Constitution (US)'],article,News,Washington
2019-05-01,Joel Fagliano springs a pop quiz on us.,['Crossword Puzzles'],article,News,Games
2019-05-01,The rookie first baseman hit a sacrifice fly that was the difference in a win over Cincinnati in which Jeurys Familia failed to secure a six-out save.,['Baseball'],article,News,Sports
2019-05-01,Let us help you start your day.,[],article,briefing,NYTNow
2019-05-01,"“It’s like turning off the scoreboard,” one American official said of the decision, which eliminates an important public measure of progress in the war.","['United States Defense and Military Forces', 'Afghanistan War (2001- )', 'Inspectors General']",article,News,Foreign
2019-05-01,The Billboard Music Awards run live on NBC. And Rachel Lears’s acclaimed “Knock Down the House” hits Netflix.,"['Television', 'Movies']",article,Schedule,Culture
2019-05-01,Japan’s emperor bypassed the government by asking the people to endorse his departure.,"['Politics and Government', 'Japan Earthquake and Tsunami (2011)', 'Constitutions', 'Royal Families', 'Speeches and Statements']",article,Op-Ed,OpEd
2019-05-01,"How neat and tidy are you? Do you regularly give away, recycle or throw out things you no longer need or want, or are you more of a hoarder?",[],article,News,Learning
2019-05-01,"Robert Mueller’s letter in March is another sign of anger toward Attorney General William Barr, whose initial statement let President Trump claim to have been vindicated.",['United States Politics and Government'],article,News,Politics
2019-05-01,"The Chinese telecom giant seeks acceptance in the West, but its structure and value system — patterned after China’s ruling party — could stand in the way.","['Executives and Management (Theory)', 'Telephones and Telecommunications', 'Computers and the Internet']",article,News,Business
2019-05-01,"Officials with the Statue of Liberty and Ellis Island are banning commercial tour guides from many areas, saying they clog the sites and behave badly.",['Statue of Liberty'],article,News,Metro
2019-05-01,With “Endgame” hijacking the box office — and the cultural conversation — five writers assembled to discuss these superhero-saturated times we live in.,['Movies'],article,News,Arts&Leisure
2019-05-01,Why is Akihito’s abdication so momentous?,[],article,News,Learning
2019-05-01,"Sydelle Willow Smith’s photos tease out the complexities of her white South African compatriots, who grapple with the question of national origin.","['Race and Ethnicity', 'Photography', 'Apartheid (Policy)', 'Immigration and Emigration']",article,News,Photo
2019-05-01,"Even a single workout may make our brain’s memory centers, like our muscles, more fit.","['Brain', 'Exercise', 'Memory', 'Muscles']",article,News,Well
2019-05-01,"“‘Make America Moral Again’ is a nice sentiment, but it is an absolutely terrible hat,” Jimmy Kimmel said of Joe Biden’s answer to the Trump slogan.",[],article,News,Arts&Leisure
2019-05-01,"Internet users are posting videos of themselves exercising using nothing more than soap, water, a slick hard floor and maybe a lack of common sense.","['Social Media', 'Video Recordings, Downloads and Streaming', 'Comedy and Humor', 'Computers and the Internet']",article,News,Express
2019-05-01,"As fighting intensifies across Afghanistan, American and insurgent envoys — though none from the Afghan government — will discuss a possible troop withdrawal.","['Afghanistan War (2001- )', 'Terrorism', 'Civilian Casualties', 'United States Defense and Military Forces', 'United States International Relations', 'September 11 (2001)']",article,News,Foreign
2019-05-01,"An at-home version of Sydney’s prized strawberry, watermelon and rose cake.","['Cakes', 'Watermelons', 'Strawberries']",article,News,Magazine
2019-05-01,The M.R.I. indicated one thing. Eventually a doctor found another problem entirely.,"['Multiple Sclerosis', 'Stroke', 'Dementia', 'Cadasil Syndrome']",article,News,Magazine
2019-05-01,"In Norway, 93 percent of children participate in organized sports. What can we learn from that country’s approach to youth sports?",[],article,News,Learning
2019-05-01,Ehren Tool wants his visually brutal stoneware cups to start conversations about the grief and suffering of armed conflict. But his work can’t be bought.,"['Art', 'United States Defense and Military Forces', 'Ceramics and Pottery', 'September 11 (2001)']",article,News,Magazine
2019-05-01,"Segregated nonwhite neighborhoods persist, with consequential exceptions.","['Real Estate and Housing (Residential)', 'Race and Ethnicity', 'Segregation and Desegregation', 'Land Use Policies']",article,News,Upshot
2019-05-01,Sedley Alley went to his death based on scant physical evidence and a confession he said had been coerced. His daughter hopes DNA testing will provide answers.,"['DNA (Deoxyribonucleic Acid)', 'Murders, Attempted Murders and Homicides', 'Forensic Science', 'False Arrests, Convictions and Imprisonments']",article,News,National
2019-05-01,Siri Hustvedt reviews “So Much Longing in So Little Space: The Art of Edvard Munch.”,['Books and Literature'],article,Review,BookReview
2019-05-01,The woman leading Australia’s inquiry into workplace sexual harassment is trying to overcome nondisclosure agreements that prevent victims from talking.,"['#MeToo Movement', 'Sexual Harassment', 'Workplace Hazards and Violations', 'Women and Girls', 'Labor and Jobs']",article,News,Business
2019-05-01,There’s a distinct glee people find in watching a hero brought low.,['Basketball'],article,News,Magazine
2019-05-01,"As income inequality becomes a central issue for Democrats, two plans offered by Mr. Booker and Ms. Harris offer a proxy of the battle between them.","['Blacks', 'Black People', 'Presidential Election of 2020', 'Primaries and Caucuses', 'Race and Ethnicity', 'Income Inequality', 'Tax Credits, Deductions and Exemptions']",article,News,Politics
2019-05-01,"The ruling, part of a slow-moving legal battle, comes nearly two years after a deadly white nationalist rally to protest the removal of one of the statues.","['Monuments and Memorials (Structures)', 'Civil War (US) (1861-65)', 'Demonstrations, Protests and Riots', 'Race and Ethnicity', 'Politics and Government', 'City Councils', 'Charlottesville, Va, Violence (August, 2017)']",article,News,Express
2019-05-01,"This summer marks the 50th anniversary of mankind’s giant leap, and NASA centers, museums and even entire cities are gearing up to celebrate.","['Apollo Project', 'Moon']",article,News,Travel
2019-05-01,"One spring day 68 years ago, Sam Falk set out to snap New Yorkers and tourists taking their own pictures of the city. Over three spring days this year, Tony Cenicola retraced Mr. Falk’s photographic steps.","['Photography', 'Cameras', 'Parks and Other Recreation Areas']",article,News,Summary
2019-05-01,Grandmothers there are learning to read for the first time. Their poignant stories reminded me of the old people I knew in my village growing up.,"['Families and Family Life', 'Education (K-12)', 'Rural Areas', 'Illiteracy']",article,News,Summary
2019-05-01,"Keith Raniere led a group in which women were branded and taught to revere him. Now he faces trial, and testimony is expected to be prurient and bizarre, court filings suggest.","['Human Trafficking', 'Prostitution', 'Sex Crimes', 'Child Abuse and Neglect', 'Racketeering and Racketeers']",article,News,Metro
2019-05-01,Many dating and lifestyle consultants are divorced women who want to provide the kind of guidance they found lacking when they were starting over.,"['Online Dating', 'Divorce, Separations and Annulments', 'Mobile Applications', 'Single Persons']",article,News,Metropolitan
2019-05-01,"In the ’80s, a portrait photographer coming into his own captured an enigmatic artist creating his own legend. Rarely exhibited, the images are here, and at Frieze New York.","['Art', 'Photography', 'Blacks', 'Black People', 'Sculpture', 'Frieze New York']",article,News,Weekend
2019-05-01,"Capri has decreed a ban on plastic and would like to limit boat traffic, too, in an effort to control those twin Italian ills: tourism and trash.","['Travel and Vacations', 'Waste Materials and Disposal', 'Plastics', 'Local Government']",article,News,Foreign
2019-05-01,"For some travelers, trips are built around reservations at restaurants with Michelin stars or a place on the annual 50 Best Restaurants list.","['Restaurants', 'Reservations (Airlines, Hotels, Etc.)', 'Travel and Vacations', 'Chefs']",article,News,Travel
2019-05-01,"President Trump wants to discourage asylum claims, as immigration courts deal with a backlog of more than 800,000 cases. Here are four of them.","['Asylum, Right of', 'Immigration and Emigration', 'Illegal Immigration', 'Refugees and Displaced Persons']",article,News,National
2019-05-01,"Known for its creative community, the borough is said to have “more oboists per capita” than anywhere else. But look out for the traffic.",['Real Estate and Housing (Residential)'],multimedia,Slideshow,Real Estate
2019-05-01,"In iconic locations, we recreated New York Times photos from 1951.","['Photography', 'Smartphones', 'Cameras']",article,News,Metro
2019-05-01,"Known for its creative community, the Bergen County borough is said to have “more oboists per capita” than anywhere else. But look out for the traffic.",['Real Estate and Housing (Residential)'],article,News,RealEstate
2019-05-01,Here’s what you need to know.,[],article,briefing,NYTNow
2019-05-01,"Wednesday: The new Statue of Liberty Museum will open this month, and a bevy of elected officials are invited.",['Statue of Liberty'],article,briefing,Metro
2019-05-01,Have you learned a life lesson that you want to share with young people today? Tell us your story.,"['Youth', 'Social Conditions and Trends']",article,Op-Ed,OpEd
2019-05-01,Sudan’s president was ousted after three decades of iron-fisted rule. We hear from a father and son who embody the divide over the country’s future.,"['War Crimes, Genocide and Crimes Against Humanity', 'Demonstrations, Protests and Riots', 'Defense and Military Forces', 'Politics and Government']",article,News,Podcasts
2019-05-01,A new movement is demanding solutions. They may just be in time to save the planet.,"['Global Warming', 'Greenhouse Gas Emissions', 'Demonstrations, Protests and Riots']",article,Op-Ed,OpEd
2019-05-01,Can Democrats figure out how to get unions back into the equation in 2020?,"['Organized Labor', 'Presidential Election of 2016', 'Labor and Jobs', 'Primaries and Caucuses', 'Presidential Election of 2020', 'United States Politics and Government']",article,Op-Ed,OpEd
2019-05-01,What honeybees have to teach us about the fate of the earth — and our country.,['Bees'],article,Op-Ed,OpEd
2019-05-01,He is hardly blameless for the failures of the Clarence Thomas hearings. But he does not deserve all the criticism he is getting.,"['Sexual Harassment', 'United States Politics and Government', 'Presidential Election of 2020']",article,Op-Ed,OpEd
2019-05-01,A gigantic painting by William-Adolphe Bouguereau makes the trek from Paris to New York.,"['Art', 'Frieze Art Fair', 'Museums', 'Auctions']",article,News,SpecialSections
2019-05-01,Emperor Naruhito’s ascension ceremony offered striking visual evidence of the imperial family’s looming existential crisis: It has precious few heirs left.,"['Women and Girls', 'Royal Families']",article,News,Foreign
2019-05-01,Bank officials are said to have been eager to provide the President’s financial documents to Congress.,[],article,News,Business
2019-05-01,"The South African, a two-time Olympic champion at 800 meters, had challenged proposed limits on female athletes with naturally elevated levels of testosterone.","['Track and Field', 'Transgender and Transsexuals', 'Intersex', 'Decisions and Verdicts']",article,News,Sports
2019-05-01,"A London court sentenced Julian Assange, the WikiLeaks founder, to prison for jumping bail in 2012, but his legal troubles are far from over.","['Politics and Government', 'Computers and the Internet', 'Cyberattacks and Hackers', 'Extradition', 'Classified Information and State Secrets', 'United States Defense and Military Forces']",article,News,Foreign
2019-05-01,"President Trump unleashed dozens of retweets Wednesday morning, just days after Joseph R. Biden Jr. received the endorsement of the national firefighters’ union in his campaign for president.","['United States Politics and Government', 'Fires and Firefighters', 'Presidential Election of 2020']",article,News,Washington
2019-05-01,"Savage Lounge, hidden behind the kitchen at Pomona restaurant, has seen its share of Bravo celebrities.",['Bars and Nightclubs'],article,News,Styles
2019-05-01,Medical records obtained by The New York Times suggest Patrick Cumaiyi was a victim of police brutality that fits a pattern in Australia — including a cover-up.,"['Police Brutality, Misconduct and Shootings', 'Indigenous Australians']",article,News,Foreign
2019-05-01,The shortlist for this year’s prize included an artist who creates fantasy worlds “beyond patriarchal limits” and one who recreated a Syrian prison using sound.,"['Art', 'Turner Prize']",article,News,Weekend
