date,abstract,keywords,doc_type,material_type,news_desk
2020-07-01,"He will need a simple, clear message to counter Trump’s “Make America Great Again” trope.","['Presidential Election of 2020', 'Coronavirus (2019-nCoV)', 'United States Politics and Government']",article,Op-Ed,OpEd
2020-07-01,"Corrections that appeared in print on Wednesday, July 1, 2020.",[],article,Correction,Corrections
2020-07-01,It’s exceedingly difficult to believe that no one told the president about the intelligence on Russian efforts to harm Americans in Afghanistan.,"['United States Politics and Government', 'United States Defense and Military Forces', 'United States International Relations', 'Afghanistan War (2001- )', 'Espionage and Intelligence Services']",article,Op-Ed,OpEd
2020-07-01,The Senate granted five additional weeks for the remaining money left in the program to be spent.,"['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Small Business', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'United States Economy']",article,News,Washington
2020-07-01,"Quotation of the Day for Wednesday, July 1, 2020.",[],article,Quote,Summary
2020-07-01,"David Anthony Ware was charged with first-degree murder in the death of Sgt. Craig Johnson, the authorities said.","['Murders, Attempted Murders and Homicides']",article,News,Express
2020-07-01,Amanda Rafkin and Ross Trudeau take flight.,['Crossword Puzzles'],article,News,Games
2020-07-01,"The state flag, which features the blue bars and white stars of the Confederate battle flag, had flown over Mississippi for 126 years. It must be removed within 15 days.","['Flags, Emblems and Insignia', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Civil War (US) (1861-65)', 'Law and Legislation']",article,News,National
2020-07-01,"A driver and his passenger had their hands raised after a police pursuit but wound up with broken bones, a district attorney said.","['Police Brutality, Misconduct and Shootings']",article,News,Express
2020-07-01,"The legislation grants Beijing broad powers to crack down on a variety of political crimes, including meting out life imprisonment for “grave” offenses. But the law is rife with ambiguities.","['Law and Legislation', 'Hong Kong Protests (2019)', 'Secession and Independence Movements', 'Politics and Government', 'International Relations']",article,News,Foreign
2020-07-01,"After thousands of empty seats at the president’s rally in Tulsa, Okla., his son-in-law moved Michael Glassner, an original Trump campaign hire in 2015, from his role of chief operating officer.",['Presidential Election of 2020'],article,News,Politics
2020-07-01,"The political novice, who has defied pandemic restrictions to keep her restaurant open and has spoken approvingly of the QAnon conspiracy theory, challenged Scott Tipton on his conservative credentials.","['United States Politics and Government', 'Elections, House of Representatives']",article,News,Washington
2020-07-01,Here’s what you need to know.,[],article,briefing,NYTNow
2020-07-01,A biographical play about Gloria Steinem is streaming on PBS.org. And Dave Bautista gets a pint-size protégé in the comedy “My Spy.”,"['Television', 'Movies']",article,News,Culture
2020-07-01,The West sorely needs to be more strategic.,[],article,Op-Ed,OpEd
2020-07-01,The coronavirus has triggered travel bans that could result in a significant drop in enrollment at top art and design schools.,"['Fashion and Apparel', 'Education (K-12)', 'Colleges and Universities', 'Layoffs and Job Reductions', 'Shutdowns (Institutional)']",article,News,Styles
2020-07-01,"When the Bundesliga resumed its season without fans, it became a valuable laboratory. Other leagues should take note of what it learned.","['Soccer', 'Coronavirus (2019-nCoV)']",article,News,Sports
2020-07-01,Russia’s constitutional “referendum” delivered its expected outcome — President Putin can serve until 2036 — but an elaborate spectacle of public affirmation was vital to his legitimacy.,"['Referendums', 'Elections', 'Polls and Public Opinion', 'Term Limits (Political Office)', 'Politics and Government', 'Constitutional Amendments']",article,News,Foreign
2020-07-01,"A city government reporter for The Times explains New York's grim fiscal reality, and the moves meant to placate calls to defund the police.","['Budgets and Budgeting', 'Black Lives Matter Movement', 'George Floyd Protests (2020)', 'Police Reform', 'Demonstrations, Protests and Riots', 'Local Government', 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'MTV Video Music Awards']",article,briefing,Metro
2020-07-01,"Beijing demanded that four organizations submit information about their operations in China, adding to tensions with the U.S. over the treatment of journalists.","['News and News Media', 'Newspapers']",article,News,Business
2020-07-01,Her bouts of sweating and confusion were traced to dangerously low blood sugar. But what was causing it?,"['Seizures (Medical)', 'Diabetes', 'Sugar', 'Insulin', 'Tumors']",article,News,Magazine
