date,abstract,keywords,doc_type,material_type,news_desk
2019-10-01,The president’s accusations turn reality on its head and the media should say so.,"['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Presidential Election of 2020', 'Rumors and Misinformation', 'Corruption (Institutional)', 'News and News Media', 'Lying']",article,Op-Ed,OpEd
2019-10-01,"Black women are underrepresented in economics, which is bad for everyone.","['Economics (Theory and Philosophy)', 'Blacks', 'Black People', 'Women and Girls', 'Discrimination']",article,Op-Ed,OpEd
2019-10-01,"The Hong Kong police used a live round against a protester for the first time in months of protests, as Beijing celebrated 70 years of Communist Party rule.","['Hong Kong Protests (2019)', 'Demonstrations, Protests and Riots']",article,News,Foreign
2019-10-01,"Don’t rush the inquiry, and make it about more than Trump’s Ukraine scandal.","['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']",article,Op-Ed,OpEd
2019-10-01,"The United States Anti-Doping Agency announced the penalty against Salazar, a former star runner and a coach to top runners.","['Running', 'Doping (Sports)', 'Coaches and Managers']",article,News,Sports
2019-10-01,Erik Agard shows us how to Tuesday.,['Crossword Puzzles'],article,News,Games
2019-10-01,"Calvin Adams, who is serving life without parole, was found a day after he vanished. He had escaped from a different Arkansas prison in 2009.","['Prison Escapes', 'Murders, Attempted Murders and Homicides']",article,News,Express
2019-10-01,The federal judiciary has worked in recent years to better address the harassment and abuse of employees.,"['Sexual Harassment', 'Workplace Hazards and Violations', 'Ethics and Official Misconduct', 'Federal Courts (US)', 'Workplace Environment']",article,News,Express
2019-10-01,President Martín Vizcarra of Peru plunged the government into uncertainty as he tried to force new elections and overcome lawmakers’ efforts to block his anticorruption agenda.,['Politics and Government'],article,News,Foreign
2019-10-01,"Corrections appearing in print on Tuesday, October 1, 2019.",[],article,Correction,Corrections
2019-10-01,"Quotation of the Day for Tuesday, October 1, 2019.",[],article,Quote,Summary
2019-10-01,Here’s what you need to know.,[],article,briefing,NYTNow
2019-10-01,"Several fishing boat workers were among at least a dozen people injured when the bridge, built in 1998, fell into a waterway in a fishing village.",[],article,News,Express
2019-10-01,"Tolerance of diversity, not repression, is the surest way to govern a vast territory with many peoples.","['Chinese Language', 'Politics and Government', 'Kazakhs (Ethnic Group)', 'Treaties', 'Language and Languages', 'Bilingual Education', 'Propaganda', 'Uighurs (Chinese Ethnic Group)', 'Colonization']",article,Op-Ed,OpEd
2019-10-01,"Season 2 of “Carmen Sandiego” is on Netflix. And Bravo’s new mini series, “In a Man’s World,” premieres.",['Television'],article,News,Culture
2019-10-01,The Dutch couturière applies her skills to the revamped Naturalis Biodiversity Center in Leiden.,"['Fashion and Apparel', 'Museums', 'your-feed-fashion']",article,News,Styles
2019-10-01,"The parade in Beijing, among the largest in modern Chinese history, was designed to commemorate 70 years of Communist rule.","['Defense and Military Forces', 'Parades']",article,News,Foreign
2019-10-01,This word has appeared in 10 articles on NYTimes.com in the past year.,[],article,News,Learning
2019-10-01,"She broke the world record in the 400-meter hurdles, which had stood for 16 years. Then she felt empty and unsure of what to do next. Answer: Doha.","['Track and Field', 'Records and Achievements']",article,News,Sports
2019-10-01,"“I would say the president is starting to unravel, but that would imply he was raveled in the first place,” Jimmy Kimmel joked Monday night.",[],article,News,Culture
2019-10-01,"The disappearance of Dulce Maria Alavez has shattered a sense of security in a rural, mostly Latino town in southern New Jersey.","['Missing Persons', 'Kidnapping and Hostages', 'Immigration and Emigration', 'Hispanic-Americans']",article,News,Metro
2019-10-01,"In this lesson, students will look at the trends that led to this move and propose changes the brand could make to better appeal to young shoppers.",[],article,News,Learning
2019-10-01,Diets high in vitamin A were linked to a lower risk for squamous cell carcinoma.,"['Vitamins', 'Skin Cancer', 'Vitamin A', 'Skin', 'Diet and Nutrition', 'Fruit', 'Vegetables']",article,News,Well
2019-10-01,Don’t count individual leaves —look for breaks in the pattern of the plants. Search in shady spots.,['Flowers and Plants'],article,News,Magazine
2019-10-01,"Most of us financially support companies we might not necessarily support socially, ethically or philosophically.",[],article,News,Smarter Living
