date,abstract,keywords,doc_type,material_type,news_desk
2021-01-01,Reasons to be hopeful about the Biden economy.,"['United States Economy', 'Labor and Jobs', 'Alternative and Renewable Energy', 'Stimulus (Economic)', 'Vaccination and Immunization', 'Coronavirus (2019-nCoV)', 'United States Politics and Government']",article,Op-Ed,OpEd
2021-01-01,The video shows a man raising something to his car window before a bang is heard. An officer ducks for cover and then fires several rounds at the man.,"['Police Brutality, Misconduct and Shootings', 'Attacks on Police', 'Black People', 'Blacks', 'Murders, Attempted Murders and Homicides', 'George Floyd Protests (2020)']",article,News,National
2021-01-01,"Every December since 2017, Ada Rojas has guided women through the process of memorializing their New Year’s resolutions on a vision board, a collage that reflects their goals and helps keep them on track. But this time around, Ms. Rojas is not holding the workshop Good Vibes & Chill until February.",[],article,News,Express
2021-01-01,"The suit, led by Representative Louie Gohmert of Texas, seeks to give the vice president the power to reject electoral votes that were cast for Joseph R. Biden Jr.","['Presidential Election of 2020', 'United States Politics and Government', 'Suits and Litigation (Civil)', 'Voter Fraud (Election Fraud)', 'Rumors and Misinformation', 'Electoral College']",article,News,Washington
2021-01-01,"The United States recorded its 20 millionth case since the start of the coronavirus pandemic on Thursday, surpassing a grim milestone just as the prospects for getting the virus under control quickly in the new year appeared to dim.",['internal-essential'],article,News,Foreign
2021-01-01,Milo Beckman hides some pleasant surprises in his New Year’s puzzle — let’s hope for more of that!,['Crossword Puzzles'],article,News,Games
2021-01-01,"The town of Palm Beach, Fla.,  imposed a 1 a.m. curfew, limiting New Year’s Eve festivities.",[],article,News,National
2021-01-01,"Throughout the coronavirus pandemic, well-attended parties have mostly been shut down across Los Angeles, which has led to a culture of secrecy on social media.",[],article,News,National
2021-01-01,"Quotation of the Day for Friday, Jan. 1, 2021.",[],article,Quote,Summary
2021-01-01,"Corrections that appeared in print on Friday, Jan. 1, 2021.",[],article,Correction,Corrections
2021-01-01,A very different New Year’s Eve.,[],article,briefing,NYTNow
2021-01-01,"A highly contagious coronavirus variant first identified in Britain has been discovered in Florida, health officials said on Thursday.",['internal-essential'],article,News,Foreign
2021-01-01,"The pandemic caused the cancellation of the Rose Parade, an institution since 1890, for the first time since World War II.",[],article,News,National
2021-01-01,"Once I joined him on that ship for the Antarctic, there was no turning back.","['Love (Emotion)', 'Dating and Relationships']",article,News,Styles
2021-01-01,"The Rose Bowl moved to Texas from California to accommodate fans. But in Pasadena, city officials worried the maneuver could threaten its long-held ties to the game.","['Football (College)', 'Rose Bowl (Football Game)', 'Bowl Games', 'Television', 'Stadiums and Arenas', 'Playoff Games', 'Coronavirus (2019-nCoV)', 'College Football Playoff National Championship', 'Trademarks and Trade Names']",article,News,Sports
2021-01-01,"The move follows an order from the Trump administration, which says the companies are tied to China’s military. But they don’t need Wall Street as much as they once did.","['Executive Orders and Memorandums', 'United States International Relations', 'Stocks and Bonds', 'Telephones and Telecommunications', 'Blacklisting']",article,News,Business
2021-01-01,"With a new variant of the virus emerging elsewhere in the country, it’s crucial to vaccinate New Yorkers quickly. But so far, only about 88,000 have received the shots.","['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Hospitals', 'Disease Rates']",article,News,Metro
2021-01-01,Alabama will play Notre Dame and Clemson will meet Ohio State on Friday as a chaotic season nears its end.,"['Football (College)', 'Rose Bowl (Football Game)', 'Sugar Bowl', 'Coronavirus (2019-nCoV)', 'Playoff Games', 'Bowl Games', 'College Football Playoff National Championship']",article,News,Sports
