date,abstract,keywords,doc_type,material_type,news_desk
2020-05-01,The police said they had classified the deaths as a hate crime after the remains of two women were found in a badly burned car last week.,"['Murders, Attempted Murders and Homicides', 'Hate Crimes']",article,News,Express
2020-05-01,"Fiona Apple blows our minds, again.",[],article,News,Podcasts
2020-05-01,Oprah Winfrey will give a virtual commencement address on Facebook for college and high school seniors across the United States.,"['Commencement Speeches', 'Colleges and Universities', 'Computers and the Internet', 'Coronavirus (2019-nCoV)']",article,News,Express
2020-05-01,Public beaches have become a flashpoint as the U.S. begins to emerge from stay-at-home restrictions.,['Coronavirus (2019-nCoV)'],article,briefing,NYTNow
2020-05-01,Trenton Charlson raises the curtain on our solving weekend.,['Crossword Puzzles'],article,News,Games
2020-05-01,"The project, announced by the C.D.C., will help trace patterns of transmission, investigate outbreaks and map how the virus is evolving, which can affect a cure.","['Genetics and Heredity', 'Coronavirus (2019-nCoV)', 'Medicine and Health', 'Research', 'Epidemics', 'Vaccination and Immunization', 'Laboratories and Scientific Equipment']",article,News,Investigative
2020-05-01,"Corrections that appeared in print on Friday, May 1, 2020.",[],article,Correction,Corrections
2020-05-01,"Quotation of the Day for Friday, May 1, 2020.",[],article,Quote,Summary
2020-05-01,"She didn’t want to go to Burning Man (for all the reasons people don’t), but then there she was, dancing naked in the desert, and it was good.","['Love (Emotion)', 'Marriages', 'Burning Man Festival']",article,News,Styles
2020-05-01,The latest on stock market and business news during the coronavirus outbreak.,"['United States Economy', 'Coronavirus (2019-nCoV)', 'Stocks and Bonds', ""Standard & Poor's 500-Stock Index""]",article,News,Business
2020-05-01,"The W.H.O. extends the global health emergency as deaths near 240,000, and our New Delhi correspondent paints a portrait of a fearful city.","['Coronavirus (2019-nCoV)', 'AIRLINES AND AIRPLANES', 'Politics and Government']",article,News,Foreign
2020-05-01,Here’s what you need to know.,[],article,briefing,NYTNow
2020-05-01,"Wyatt Morgan Cooper, who is named after the newscaster’s late father, was delivered by a surrogate.","['Television', 'Surrogate Motherhood']",article,News,Express
2020-05-01,"If college athletes are permitted to cash in on their fame, how can the N.C.A.A. forbid guidance from people who have long worked in the shadows?","['Football (College)', 'Basketball (College)', 'College Athletics', 'AMATEUR ATHLETICS']",article,News,Sports
2020-05-01,"At least three boats carrying Rohingya refugees have been adrift for more than two months. As of this week, rights groups that had been tracking the boats lost sight of them.","['Rohingya (Ethnic Group)', 'Refugees and Displaced Persons', 'Human Trafficking', 'Coronavirus (2019-nCoV)']",article,News,Foreign
2020-05-01,The governor’s moves were in response to the Republican-led Legislature’s refusal to extend the original emergency declaration.,"['Demonstrations, Protests and Riots', 'Coronavirus (2019-nCoV)', 'State Legislatures', 'Quarantines', 'Executive Orders and Memorandums']",article,News,National
2020-05-01,The small-scale events could create a road map to help the men’s and women’s tours return.,"['Tennis', 'Shutdowns (Institutional)', 'Coronavirus (2019-nCoV)']",article,News,Sports
